place,title,time,pay,date
서울 전체, BHC그룹 bhc 종로점,16:00~01:00,"월급2,240,000",4시간전
서울 강남구, BHC그룹 족발상회 역삼점,10:00~15:00,"시급10,310",4시간전
서울 강남구, BHC그룹 창고43 압구정점,10:30~22:00,"월급1,850,000",5시간전
서울 강남구, BHC그룹 창고43 압구정점,10:30~22:00,"월급1,900,000",5시간전
서울 강남구, BHC그룹 창고43 압구정점,10:30~22:00,"월급1,850,000",6시간전
서울 강남구, BHC그룹 창고43 압구정점,10:30~22:00,"월급1,900,000",6시간전
서울 강남구, BHC그룹 창고43 압구정점,10:30~22:00,"월급1,900,000",6시간전
서울 강남구, BHC그룹 족발상회 역삼점,17:00~02:00,"월급2,400,000",7시간전
서울 강남구, BHC그룹 족발상회 역삼점,17:00~02:00,"월급2,400,000",11/21
경기 화성시, BHC그룹 bhc 동탄북광장,16:00~01:00,"월급2,600,000",11/21
경기 화성시, BHC그룹 bhc 동탄북광장,16:00~01:00,"월급2,600,000",11/21
서울 강남구, BHC그룹 창고43 청담점,10:30~22:00,"월급1,850,000",11/20
서울 강남구, BHC그룹 창고43 청담점,10:30~22:00,"월급1,850,000",11/15
서울 강남구, BHC그룹 창고43 청담점,10:30~22:00,"월급2,400,000",11/12
서울 전체, BHC그룹 창고43 목동점,10:30~22:00,"월급1,900,000",11/10
서울 전체, BHC그룹 창고43 목동점,10:30~22:00,"월급1,900,000",11/10
서울 강남구, BHC그룹 창고43 청담점,10:30~22:00,"월급2,400,000",11/08
