place,title,time,pay,date
서울 은평구, 노랑통닭 은평 뉴타운점,15:00~02:00,"월급2,600,000",1분전
서울 노원구, 노랑통닭 공릉점,15:00~02:00,"월급2,700,000",1분전
서울 은평구, 노랑통닭 은평 뉴타운점,15:00~02:00,"월급2,600,000",1분전
서울 노원구, 노랑통닭 공릉점,15:00~02:00,"월급2,700,000",1분전
서울 노원구, 노랑통닭 공릉점,15:00~02:00,"월급2,700,000",2분전
서울 노원구, 노랑통닭 공릉점,15:00~02:00,"월급2,700,000",3분전
서울 은평구, 노랑통닭 은평 뉴타운점,15:00~02:00,"월급2,600,000",3분전
서울 중랑구, 노랑통닭 공릉점,15:00~02:00,"월급2,700,000",3분전
경기 수원시, 노랑통닭 망포점,18:00~24:00,"시급9,000",19분전
서울 강서구, 노랑통닭 화곡역점,18:00~24:00,"시급10,000",41분전
서울 강서구, 노랑통닭 화곡역점,16:30~02:30,"월급2,400,000",42분전
서울 용산구, 노랑통닭 용산점,16:00~02:00,"월급2,400,000",55분전
인천 미추홀, 노랑통닭 인천도화점,15:00~02:00,"월급2,600,000",1시간전
서울 강서구, 노랑통닭 화곡역점,16:30~02:30,"월급2,300,000",1시간전
서울 노원구, 노랑통닭 방학점,18:00~01:00,"시급9,000",1시간전
서울 도봉구, 노랑통닭 방학점,18:00~01:00,"시급9,000",1시간전
경기 하남시, 노랑통닭 미사 1호점,15:00~02:00,"월급2,600,000",2시간전
경기 하남시, 노랑통닭 미사 1호점,15:00~02:00,"월급2,600,000",2시간전
경기 평택시, 노랑통닭 평택국제시장점,18:00~00:00,"시급8,590",2시간전
서울 서대문, 노랑통닭 명지대점,17:00~03:00,"월급2,400,000",2시간전
경남 창원시, 노랑통닭 창원 중동점,18:00~22:00,"시급8,590",2시간전
경남 창원시, 노랑통닭 창원 중동점,18:00~22:00,"시급8,590",2시간전
경남 창원시, 노랑통닭 창원 중동점,18:00~21:00,"시급9,000",2시간전
경남 창원시, 노랑통닭 창원 중동점,18:00~21:00,"시급9,000",2시간전
경남 창원시, 노랑통닭 창원 중동점,18:00~21:00,"시급9,000",2시간전
경기 수원시, 노랑통닭 망포점,15:00~01:00,"월급2,500,000",2시간전
서울 강남구, 노랑통닭 역삼점,18:00~22:00,"시급8,600",2시간전
경기 고양시, 노랑통닭 중산점,14:00~01:00,"월급2,500,000",3시간전
경기 고양시, 노랑통닭 행신점,17:00~03:00,"월급2,400,000",3시간전
경기 안산시, 노랑통닭 고잔신도시점,18:00~24:00,"시급10,000",3시간전
경기 안산시, 노랑통닭 고잔신도시점,18:00~24:00,"시급10,000",3시간전
경기 안산시, 노랑통닭 고잔신도시점,18:00~24:00,"시급10,000",3시간전
경기 안산시, 노랑통닭 고잔신도시점,18:00~24:00,"시급10,000",3시간전
경기 안산시, 노랑통닭 고잔신도시점,18:00~24:00,"시급10,000",3시간전
서울 도봉구, 노랑통닭 방학점,18:00~22:00,"시급8,590",3시간전
서울 노원구, 노랑통닭 방학점,18:00~22:00,"시급8,590",3시간전
서울 강남구, 노랑통닭 역삼점,15:00~02:00,"월급2,600,000",3시간전
인천 미추홀, 노랑통닭 인천도화점,15:00~02:00,"월급2,600,000",3시간전
서울 강북구, 노랑통닭 미아점,18:00~24:00,"시급8,800",3시간전
경기 안양시, 노랑통닭 범계점,16:30~01:30,"시급8,600",3시간전
서울 강남구, 노랑통닭 역삼점,15:00~02:00,"월급2,600,000",3시간전
인천 미추홀, 노랑통닭 인천 주안점,19:00~24:00,"시급8,600",3시간전
인천 미추홀, 노랑통닭 인천 주안점,16:00~02:30,"월급2,300,000",3시간전
서울 강북구, 노랑통닭 수유점,18:00~01:00,"시급9,300",3시간전
인천 서구, 노랑통닭 마전점,18:00~23:00,"시급8,600",4시간전
인천 서구, 노랑통닭 마전점,18:00~23:00,"시급8,600",4시간전
경기 남양주, 노랑통닭 마석점,15:00~01:00,"월급2,500,000",4시간전
서울 성동구, 노랑통닭 성수점,14:00~01:30,"월급2,600,000",4시간전
인천 미추홀, 노랑통닭 인천 주안점,19:00~24:00,"시급8,600",4시간전
인천 미추홀, 노랑통닭 인천 주안점,16:00~02:30,"월급2,300,000",4시간전
