place,title,time,pay,date
인천 부평구, 부평,10:40~22:00,"월급2,000,000",17분전
인천 부평구, 부평,10:40~22:00,"월급2,000,000",38분전
경기 하남시, 스타필드 신세계 하남 나이키,10:00~22:00,"월급2,050,000",57분전
경기 이천시, 경기 이천점 나이키,10:00~21:00,"월급2,000,000",1시간전
대전 유성구, 대전 유성,10:30~21:30,"월급2,000,000",1시간전
대전 전체, 갤러리아타임월드 나이키,09:30~20:10,"월급1,950,000",2시간전
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",2시간전
경기 하남시, 스타필드 신세계 하남 나이키,10:00~22:00,"월급2,050,000",2시간전
경기 이천시, 경기 이천점 나이키,10:00~21:00,"월급2,000,000",4시간전
경기 고양시, 고양스타필드,10:00~22:00,"월급2,050,000",4시간전
대구 동구, 신세계 동대구,09:40~20:40,"월급1,950,000",7시간전
경기 부천시, 부천스타필드나이키,10:00~22:00,"월급2,050,000",7시간전
서울 영등포, 타임스퀘어,10:00~10:00,"월급1,900,000",7시간전
경기 부천시, 부천스타필드나이키,10:00~22:00,"월급2,050,000",7시간전
광주 서구, 신세계 광주FS,09:50~21:00,"월급2,000,000",8시간전
대전 전체, 갤러리아타임월드 나이키,09:30~20:10,"월급1,950,000",8시간전
인천 부평구, 부평,10:40~22:00,"월급2,000,000",8시간전
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",10시간전
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,000,000",17시간전
경기 하남시, 스타필드 신세계 하남 나이키,10:00~22:00,"월급2,050,000",11/22
인천 서구, 인천모다,10:50~21:00,"월급1,970,000",11/22
대구 동구, 신세계 동대구,09:40~20:40,"월급1,950,000",11/22
서울 서초구, (주)대연,10:30~20:30,"월급1,950,000",11/22
광주 서구, 신세계 광주FS,09:50~21:00,"월급2,000,000",11/22
경기 이천시, 경기 이천점 나이키,10:00~21:00,"월급2,000,000",11/22
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",11/22
인천 전체, 아이즈빌1,10:20~21:30,"월급2,000,000",11/21
경기 수원시, (주)대연,10:00~20:00,"월급1,950,000",11/21
경기 이천시, 경기 이천점 나이키,10:00~21:00,"월급2,000,000",11/19
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",11/19
광주 서구, 신세계 광주FS,09:50~21:00,"월급2,000,000",11/19
인천 전체, 아이즈빌1,10:20~21:30,"월급2,000,000",11/18
부산 해운대, 신세계 센텀,09:50~20:10,"월급1,950,000",11/18
경기 수원시, (주)대연,10:00~20:00,"월급1,950,000",11/16
경기 수원시, (주)대연,10:00~20:00,"월급1,950,000",11/15
경기 수원시, (주)대연,10:00~20:00,"월급1,950,000",11/14
경기 용인시, 신세계 죽전,09:50~20:10,"월급1,950,000",11/13
경기 수원시, (주)대연,10:00~20:00,"월급1,950,000",11/12
충남 천안시, 모다아울렛천안,10:40~21:10,"월급1,970,000",11/08
서울 영등포, 신세계 영등포,09:50~20:00,"월급1,950,000",11/08
