place,title,time,pay,date
경기 하남시, 신세계백화점 하남점,10:30~18:30,"시급8,700",1시간전
서울 전체, 신세계백화점 본점,10:00~18:00,"시급8,700",1시간전
서울 전체, 신세계백화점 본점,12:00~20:00,"시급8,700",4시간전
대구 동구, 신세계 백화점 대구점,11:00~19:00,"시급8,700",4시간전
대구 동구, 신세계백화점 대구점,10:00~18:00,"시급8,900",4시간전
서울 전체, 신세계백화점 강남점,10:00~20:00,"시급8,700",12시간전
경기 용인시, 신세계 경기점,10:30~18:30,"시급8,700",11/22
서울 전체, 신세계백화점 강남점,09:30~20:00,"시급9,000",11/21
서울 전체, 신세계백화점 강남점,10:00~20:00,"시급8,700",11/21
서울 전체, 신세계백화점 본점,10:00~18:00,"시급8,700",11/21
경기 용인시, 신세계 경기점,10:00~18:00,"시급8,700",11/21
서울 전체, 신세계백화점 본점,10:00~18:00,"시급8,700",11/18
서울 전체, 신세계백화점 강남점,10:00~20:00,"시급8,700",11/10
