place,title,time,pay,date
부산 해운대, 홍대개미 신세계백화점센텀시티점,09:00~19:00,"월급1,800,000",23분전
부산 해운대, 홍대개미 신세계백화점센텀시티점,09:00~19:00,"월급1,800,000",3시간전
부산 해운대, 홍대개미 신세계백화점센텀시티점,09:00~19:00,"월급1,800,000",3시간전
서울 강남구, [홍대개미] 파르나스몰점,09:00~19:00,"월급2,100,000",5시간전
서울 강남구, 홍대개미 파르나스몰점,10:00~22:00,"월급2,100,000",5시간전
경기 안성시, 홍대개미 스타필드 안성점,시간협의,"시급9,000",6시간전
경기 평택시, 홍대개미 스타필드 안성점,시간협의,"시급9,000",6시간전
경기 평택시, 홍대개미 스타필드 안성점,시간협의,"시급9,000",6시간전
경기 평택시, 홍대개미 스타필드 안성점,시간협의,"시급9,000",6시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~21:00,"월급1,800,000",6시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~21:00,"월급1,800,000",7시간전
경기 평택시, 홍대개미 스타필드 안성,09:00~19:00,"월급2,200,000",7시간전
경기 평택시, 홍대개미 스타필드 안성,09:00~19:00,"월급2,200,000",7시간전
경기 평택시, 홍대개미 스타필드 안성,09:00~19:00,"월급2,200,000",7시간전
경기 평택시, 홍대개미 스타필드 안성,09:00~19:00,"월급2,200,000",7시간전
경기 안성시, 홍대개미 스타필드 안성,09:00~19:00,"월급2,200,000",7시간전
경기 평택시, 홍대개미스타필드안성,09:00~20:00,"월급2,200,000",7시간전
경기 평택시, 홍대개미스타필드안성,09:00~20:00,"월급2,200,000",7시간전
경기 평택시, 홍대개미스타필드안성,09:00~20:00,"월급2,200,000",7시간전
경기 평택시, 홍대개미스타필드안성,09:00~20:00,"월급2,200,000",7시간전
경기 안성시, 홍대개미스타필드안성,09:00~20:00,"월급2,200,000",7시간전
경기 평택시, 홍대개미 스타필드 안성점,시간협의,"시급9,000",8시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~21:00,"월급1,800,000",18시간전
부산 해운대, 홍대개미 신세계백화점센텀시티점,09:00~19:00,"월급1,800,000",11/22
경기 의정부, 홍대개미 신세계의정부점,09:00~19:00,"월급1,800,000",11/22
서울 강남구, 홍대개미 파르나스몰점,10:00~22:00,"월급2,100,000",11/20
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~21:00,"월급1,800,000",11/20
부산 해운대, 홍대개미 신세계백화점센텀시티점,09:00~19:00,"월급1,800,000",11/19
서울 강남구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급2,100,000",11/19
대구 수성구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,800,000",11/19
대구 수성구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,800,000",11/19
대구 동구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,800,000",11/19
대구 동구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,800,000",11/19
대구 동구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,800,000",11/19
경기 안양시, 홍대개미 범계점,10:00~21:30,"월급2,200,000",11/18
경기 안양시, 홍대개미 범계점,10:00~21:30,"월급2,200,000",11/18
경기 안양시, 홍대개미 범계점,10:00~21:30,"월급2,200,000",11/18
경기 안양시, 홍대개미 범계점,10:00~21:30,"월급2,200,000",11/18
서울 강남구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급2,100,000",11/15
부산 중구, 홍대개미 롯데백화점 광복점,09:00~22:00,"월급1,800,000",11/15
서울 용산구, 홍대개미 서울역사점,11:30~20:30,"시급8,590",11/14
