place,title,time,pay,date
대전 중구, 7번가피자태평유천점,11:00~23:00,"시급10,000",51분전
강원 원주시, 7번가피자 기업도시점,17:00~22:00,"시급8,600",1시간전
서울 동대문, 7번가피자 장안점,15:00~22:00,"시급9,000",2시간전
대전 중구, 7번가피자태평유천점,11:00~23:00,"시급10,000",2시간전
서울 구로구, (주)연푸드딜리버리,11:00~24:00,"월급3,000,000",2시간전
서울 구로구, (주)연푸드딜리버리,11:00~24:00,"월급3,000,000",2시간전
서울 구로구, (주)연푸드딜리버리,11:00~24:00,"월급3,000,000",2시간전
충북 청주시, 7번가피자율량점,18:00~23:00,"시급8,700",3시간전
서울 전체, 7번가피자방배사당점,17:00~22:30,"시급10,400",3시간전
서울 동대문, 7번가피자 장안점,15:00~22:00,"시급9,000",3시간전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"주급700,000",3시간전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"월급3,000,000",3시간전
서울 동대문, 7번가피자 장안점,15:00~22:00,"시급9,000",3시간전
경기 남양주, 7번가피자마석점,18:00~22:00,"시급9,000",3시간전
울산 중구, 7번가피자 약사병영점,17:00~22:00,"시급8,590",4시간전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"주급700,000",4시간전
서울 동대문, 7번가피자 장안점,15:00~22:00,"시급9,000",4시간전
대전 서구, 7번가피자 만년점,11:00~23:00,"시급9,000",5시간전
경기 남양주, 7번가피자마석점,18:00~23:00,"시급9,000",5시간전
경기 용인시, 7번가피자 수지점,11:00~22:00,"월급2,300,000",5시간전
서울 동대문, 7번가피자 장안점,15:00~22:00,"시급9,000",6시간전
대전 서구, 7번가피자 관저점,18:00~24:00,"시급9,500",6시간전
경기 부천시, 7번가피자 범박점,11:00~23:00,"월급2,500,000",7시간전
대구 북구, 7번가피자 칠곡점,18:00~23:00,"시급9,500",7시간전
경기 부천시, 7번가피자 범박점,11:00~23:00,"월급2,500,000",7시간전
세종 아름동, 7번가피자 세종(청사)점,11:00~23:30,"시급11,000",10시간전
전남 순천시, 7번가피자 순천호수공원점,17:00~22:00,"시급8,800",10시간전
전남 순천시, 7번가피자 순천호수공원점,시간협의,"시급8,800",10시간전
경기 부천시, 7번가피자 범박점,11:00~23:00,"월급2,500,000",15시간전
충북 청주시, 7번가피자 율량점,18:00~23:00,"시급8,700",11/22
충북 청주시, 7번가피자율량점,18:00~23:00,"시급8,700",11/22
경기 수원시, 7번가피자 영통점,18:00~21:00,"시급8,590",11/22
경기 용인시, 7번가피자 수지점,11:00~22:00,"월급2,300,000",11/22
경기 수원시, 7번가피자 영통점,18:00~21:00,"시급8,590",11/21
충북 청주시, 7번가피자율량점,18:00~23:00,"시급8,700",11/21
충북 청주시, 7번가피자 율량점,18:00~23:00,"시급8,700",11/21
세종 전체, 7번가피자 세종(청사)점,11:00~23:30,"시급11,000",11/21
대전 유성구, 7번가피자 노은점,11:00~23:30,"월급2,500,000",11/21
인천 서구, 7번가피자검단점,18:00~22:00,"시급10,500",11/20
경기 수원시, 7번가피자 영통점,18:00~21:00,"시급8,590",11/20
서울 강서구, 7번가피자 마곡발산점,11:30~15:30,"시급8,590",2시간전
