place,title,time,pay,date
전북 군산시, 가락동리어카포차군산수송점,06:00~03:00,"시급9,000",6분전
전남 무안군, 대동집 남악점,20:00~03:00,"시급9,000",6분전
부산 전체, 고귀한쌈,17:00~22:00,"시급8,590",6분전
대구 북구, bhc연경점,17:30~22:00,"시급9,375",1시간전
경북 구미시, (주)씨에이치 구미봉곡지점,시간협의,"월급2,000,000",1시간전
서울 전체, 큰맘할매순대국,11:00~14:00,"시급8,590",1시간전
서울 전체, 큰맘할매순대국,11:00~14:00,"시급8,590",1시간전
서울 강남구, 인기명 강남점,15:00~22:30,"월급2,000,000",1시간전
경기 전체, 에르베 농업회사법인,10:00~17:00,"시급9,500",1시간전
대구 남구, 99플레이트 레시피,09:00~04:00,"건별3,300",1시간전
인천 부평구, 아이센스리그 PC 인천삼산점,08:00~16:00,"시급8,590",2시간전
부산 전체, 브레드빈,05:00~22:30,"시급8,590",2시간전
부산 남구, 유일한식탁,17:00~22:00,"시급8,590",2시간전
부산 남구, 유일한식탁,10:00~15:30,"시급8,590",2시간전
경기 김포시, 맛찬들3.5왕소금구이,18:00~23:00,"시급9,000",2시간전
경기 안산시, 주식회사 비투이,13:00~17:00,"시급12,000",2시간전
경기 용인시, 에르베 농업회사법인,10:00~17:00,"시급9,500",2시간전
전남 영광군, 옥당정식,10:00~14:30,"시급8,590",2시간전
광주 광산구, 풀덤 수완점,23:00~07:00,"시급10,800",2시간전
서울 전체, 우리woori parking,10:00~21:00,"월급2,400,000",2시간전
강원 강릉시, 라이또PC강릉유천점,23:00~07:00,"시급8,590",3시간전
강원 춘천시, 올레PC방(2호점),00:00~09:00,"시급8,590",3시간전
경기 군포시, 이에스 로지스틱스,07:00~13:30,"시급10,000",3시간전
경기 군포시, 이에스 로지스틱스,07:00~13:30,"시급10,000",3시간전
강원 홍천군, 홍천펜션 sky 비발디펜션,시간협의,"건별70,000",3시간전
경기 남양주, 우승태권도,13:00~21:00,"시급10,000",3시간전
부산 남구, 유일한식탁,10:00~22:00,"월급2,100,000",3시간전
경기 오산시, 메가엠씨커피오산원동,08:50~13:20,"시급8,590",3시간전
강원 강릉시, 강릉유환식당,10:00~21:30,"월급2,400,000",3시간전
서울 종로구, 이스포츠(e-sports)pc방,01:00~08:00,"시급9,000",4시간전
인천 서구, 이상몰(이상이앤티),13:30~06:00,"시급9,000",4시간전
대전 서구, SK텔레콤 가수원CGV,10:00~20:00,"월급2,800,000",4시간전
대전 서구, SK텔레콤 가수원CGV,10:00~20:00,"월급2,800,000",4시간전
대전 유성구, (주)비즈인바이오,10:00~16:00,"월급1,800,000",4시간전
대전 서구, SK텔레콤 가수원CGV,10:00~20:00,"월급2,800,000",4시간전
경기 용인시, 세광양대창 수지구청점,13:00~01:00,"월급3,000,000",4시간전
경북 포항시, 아이센스PC방 포항장성점,22:00~10:00,"시급8,590",4시간전
인천 서구, 치킨매니아 불로점,17:30~01:30,"시급8,600",4시간전
서울 송파구, 명품횡성한우,11:00~10:00,"월급2,500,000",4시간전
세종 나성동, 곱창이야기 세종나성점,15:00~00:00,"월급2,300,000",4시간전
부산 부산진, 아지외삼,17:00~02:00,"월급2,000,000",4시간전
서울 관악구, 아재포차,15:00~02:00,"월급2,500,000",4시간전
강원 강릉시, E&i건축인테리어,07:50~17:30,"월급1,795,310",4시간전
인천 부평구, 아이센스리그 PC 인천삼산점,08:00~16:00,"시급8,590",4시간전
경기 이천시, 한국야쿠르트동이천점,06:00~09:00,"월급1,400,000",4시간전
울산 울주군, 언양양고기,16:00~23:00,"시급8,590",4시간전
서울 강동구, 청년부동산공인중개사사무소,11:00~18:00,"연봉40,000,000",4시간전
서울 영등포, 포베이kbs본관점,10:00~14:00,"시급9,000",5시간전
충북 청주시, 피시태그(PC TAG) 금천점,08:00~15:00,"시급8,590",5시간전
전북 익산시, 행복해(익산점),시간협의,"시급9,000",5시간전
