place,title,time,pay,date
인천 중구, CU 영종골든튤립점,시간협의,"시급8,590",2분전
울산 남구, CU 다누리울산점,23:30~06:30,"시급8,590",2분전
경기 의정부, CU 호원현대점,00:00~08:00,"시급8,590",3분전
경기 의정부, CU 호원현대점,00:00~08:00,"시급8,590",3분전
서울 용산구, CU 한남역점,23:00~08:00,"시급8,590",4분전
충북 청주시, CU 청주비하점,23:00~09:00,"시급8,590",4분전
충북 청주시, CU 오창센트럴파크점,10:00~16:00,"시급8,600",4분전
경기 의정부, CU 호원현대점,00:00~08:00,"시급8,590",4분전
충북 청주시, CU 청주비하점,23:00~09:00,"시급8,590",4분전
서울 양천구, CU 신월충효점,16:00~23:00,"시급8,590",5분전
대구 달서구, CU 장기레이데이점,15:00~22:00,"시급8,590",5분전
경기 안산시, CU 안산신길중앙점,21:00~09:00,"시급8,590",6분전
강원 강릉시, CU 강릉교동바른점,24:00~08:00,"시급8,590",6분전
강원 강릉시, CU 관대정문점,22:00~09:00,"시급8,590",6분전
강원 강릉시, CU 강릉교동바른점,24:00~08:00,"시급8,590",6분전
인천 부평구, CU 부평파크점,16:00~24:00,"시급8,590",7분전
충북 충주시, CU 충주e편한세상점,13:00~03:00,"시급8,590",7분전
서울 양천구, CU 신월충효점,14:50~22:00,"시급8,590",8분전
경기 여주시, CU 여주창동점,18:00~01:00,"시급8,590",8분전
대전 대덕구, CU 대전와동점,23:00~06:00,"시급8,590",8분전
경기 평택시, CU 포승여술길점,23:30~08:30,"시급8,590",8분전
인천 부평구, CU 부평파크점,00:00~08:00,"시급8,590",9분전
경기 하남시, CU 미사부영점,16:00~23:00,"시급8,590",9분전
부산 해운대, CU 반송동부산점,24:00~07:00,"시급8,590",9분전
경기 수원시, CU 권선맛고을점,23:00~09:00,"시급8,590",9분전
서울 강서구, CU 항공지원센터점,07:00~12:00,"시급8,600",9분전
서울 서초구, CU 서초현대렉시온점,15:00~22:00,"시급8,590",9분전
경기 수원시, CU 수원트윈파크점,23:00~06:00,"시급8,590",10분전
서울 강동구, CU 둔촌현대점,08:00~15:00,"시급8,590",10분전
강원 원주시, CU 원주봉화산푸르지오점,01:00~06:30,"시급8,590",10분전
경기 수원시, CU 수원트윈파크점,23:00~06:00,"시급8,590",10분전
충북 청주시, CU 청주용성초점,22:00~08:00,"시급8,590",11분전
강원 원주시, CU 원주봉화산푸르지오점,01:00~06:30,"시급8,590",11분전
서울 서대문, CU 홍제성원점,15:00~23:00,"시급8,590",11분전
경기 성남시, CU 위례한마음점,18:00~24:00,"시급8,590",13분전
서울 강서구, CU 방화행운점,16:00~23:00,"시급8,590",14분전
서울 양천구, CU 목동파리공원점,12:30~17:30,"시급8,590",14분전
경기 광주시, CU 광주양촌길점,20:00~24:30,"시급8,590",14분전
경기 성남시, CU 위례한마음점,15:00~19:00,"시급8,590",15분전
경기 수원시, CU 권선맛고을점,23:00~09:00,"시급8,590",15분전
경기 시흥시, CU시흥매화점,16:00~23:00,"시급8,590",15분전
경기 시흥시, CU시흥매화점,16:00~23:00,"시급8,590",16분전
경기 성남시, CU 위례한마음점,07:00~11:30,"시급8,590",17분전
경기 광주시, CU 광주물류센터점,09:00~18:00,"시급8,600",17분전
서울 강서구, CU 화곡에스점,23:00~09:00,"시급8,590",17분전
경기 부천시, CU 다운타운점,23:00~08:00,"시급8,590",18분전
경남 창원시, CU 진해제일점,15:00~22:00,"시급8,590",19분전
광주 동구, CU 조대정문점,21:00~02:30,"시급8,590",19분전
서울 강동구, CU 천호푸르지오점,22:00~08:00,"시급8,590",21분전
경기 군포시, CU 군포흥진점,14:00~19:00,"시급8,590",21분전
