place,title,time,pay,date
인천 연수구, 미쏘 연수 스퀘어원,09:00~22:00,"시급8,590",21분전
전남 광양시, 미쏘 광양 LF,10:00~18:00,"시급8,590",36분전
인천 연수구, 미쏘 연수 스퀘어원,09:00~22:00,"시급8,590",50분전
충북 청주시, 미쏘 청주지웰시티몰,13:00~22:00,"시급8,590",1시간전
서울 강남구, 미쏘 강남플래그샵,12:00~21:00,"시급8,590",2시간전
서울 동대문, 미쏘 청량리 롯데,13:30~20:30,"시급8,590",2시간전
경기 용인시, 미쏘 용인 역북,14:00~22:00,"시급8,590",3시간전
서울 영등포, 미쏘 미쏘 IFC몰점,08:00~16:00,"시급8,590",3시간전
서울 송파구, 미쏘 송파 NC,12:00~21:00,"시급8,590",3시간전
경기 화성시, 미쏘 용인 역북,10:30~21:30,"시급8,590",4시간전
경기 화성시, 미쏘 용인 역북,10:30~21:30,"시급8,590",5시간전
인천 남동구, 미쏘 인천 NC,13:00~22:00,"시급8,590",5시간전
경기 수원시, 폴더 AK수원(HL),09:00~22:00,"시급8,590",5시간전
서울 강남구, 폴더 강남 E스퀘어,13:00~22:00,"시급8,590",6시간전
서울 송파구, 미쏘 송파 NC,12:00~21:00,"시급8,590",6시간전
서울 광진구, 폴더 건대스타시티,11:00~20:00,"시급8,590",6시간전
대전 전체, 미쏘 롯데 대전점,16:30~22:00,"시급8,590",7시간전
서울 동대문, 미쏘 청량리 롯데,13:30~20:30,"시급8,590",7시간전
전남 광양시, 미쏘 광양 LF,10:00~18:00,"시급8,590",7시간전
서울 강남구, 미쏘 강남플래그샵,14:00~23:00,"시급8,590",7시간전
서울 강남구, 미쏘 강남플래그샵,12:00~21:00,"시급8,590",7시간전
인천 남동구, 미쏘 인천 NC,13:00~22:00,"시급8,590",8시간전
인천 남동구, 미쏘 인천 NC,13:00~22:00,"시급8,590",16시간전
대전 중구, 미쏘 대전중앙 NC,14:00~22:00,"시급8,590",16시간전
서울 동대문, 미쏘 청량리 롯데,시간협의,"시급8,590",11/22
인천 연수구, 미쏘 연수 스퀘어원,09:00~22:00,"시급8,590",11/22
서울 영등포, 미쏘 영등포 타임스퀘어,13:30~22:30,"시급8,590",11/21
경기 안성시, 미쏘 신세계스타필드안성,15:10~22:10,"시급8,590",11/21
인천 연수구, 미쏘 연수 스퀘어원,09:00~22:00,"시급8,590",11/20
서울 동대문, 미쏘 청량리 롯데,시간협의,"시급8,590",11/20
인천 연수구, 미쏘 연수 스퀘어원,09:00~22:00,"시급8,590",11/19
경기 화성시, 미쏘 용인 역북,10:30~21:30,"시급8,590",11/18
서울 송파구, 미쏘 송파 NC,12:00~21:00,"시급8,590",11/17
서울 동대문, 미쏘 청량리 롯데,시간협의,"시급8,590",11/17
충북 전체, 폴더 청주아리아,09:30~16:30,"시급8,590",11/15
충북 전체, 폴더 청주아리아,시간협의,"시급8,590",11/15
경기 용인시, 폴더 동춘175점,10:00~19:00,"시급8,590",11/15
충북 전체, 폴더 NC청주,10:00~19:00,"시급8,590",11/14
경기 용인시, 폴더 동춘175점,10:00~19:00,"시급8,590",11/14
충북 전체, 폴더 청주아리아,09:30~16:30,"시급8,590",11/11
서울 강남구, 폴더 강남 E스퀘어,13:00~22:00,"시급8,590",11/09
경기 수원시, 미쏘 수원 롯데몰,14:00~22:00,"시급8,590",11/09
경기 수원시, 미쏘 수원 롯데몰,14:00~22:00,"시급8,590",11/08
경기 수원시, 미쏘 수원 롯데몰,14:00~22:00,"시급8,590",11/08
