place,title,time,pay,date
경북 포항시, (주)지에스리테일 랄라블라포항중앙점,18:00~21:00,"시급8,590",15분전
서울 강서구, GS리테일 H&B사업부문 랄라블라,15:30~20:00,"시급8,590",18분전
경기 이천시, (주)지에스리테일,16:00~18:00,"시급8,590",29분전
서울 강서구, GS리테일 H&B사업부문 랄라블라,15:30~20:00,"시급8,590",1시간전
서울 구로구, (주)지에스리테일,18:30~22:00,"시급8,590",1시간전
서울 강서구, GS리테일 H&B사업부문 랄라블라,15:30~20:00,"시급8,590",3시간전
서울 광진구, (주)지에스리테일,18:30~21:30,"시급8,590",3시간전
경기 고양시, GS리테일 H&B 랄라블라 라페스타점,10:00~15:30,"시급8,590",4시간전
경북 구미시, (주)지에스리테일 H&B 구미역점,13:30~16:30,"시급8,590",13시간전
광주 동구, (주)지에스리테일,13:00~17:30,"시급8,590",11/20
경기 광명시, (주)지에스리테일,12:00~14:30,"시급8,590",11/18
충북 충주시, (주)지에스리테일,11:00~14:30,"시급8,590",11/17
광주 동구, (주)지에스리테일,13:00~17:30,"시급8,590",11/14
서울 광진구, (주)지에스리테일 랄라블라 건대점,11:00~14:00,"시급8,590",11/12
서울 금천구, (주)지에스리테일,11:00~16:00,"시급8,590",11/10
인천 남동구, GS리테일H&B 랄라블라 구월로데오점,18:00~22:30,"시급8,590",11/10
경기 성남시, (주)지에스리테일 랄라블라 신흥점,11:00~14:00,"시급8,590",11/08
