place,title,time,pay,date
서울 전체, 한경석유주식회사경덕주유소,05:00~15:00,"월급2,450,000",12시간전
울산 남구, 신새벽주유소,13:00~18:00,"시급8,590",12시간전
서울 서대문, 행촌제2주유소,08:00~22:00,"시급9,300",13시간전
부산 해운대, 돌고래주유소,08:30~12:30,"시급8,600",13시간전
경기 고양시, sk섬마을주유소,22:00~06:00,"시급9,300",13시간전
서울 강서구, SK개화주유소,10:00~19:00,"월급2,100,000",13시간전
서울 송파구, 한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,250,000",15시간전
서울 송파구, 한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,250,000",15시간전
서울 송파구, 한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,250,000",15시간전
서울 송파구, 한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,250,000",15시간전
서울 송파구, 한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,250,000",15시간전
부산 수영구, 금호주유소,14:00~18:30,"시급8,590",15시간전
광주 북구, (주)광주화물터미널,13:00~20:00,"시급8,590",15시간전
경기 평택시, sk 이에스주유소,14:00~22:00,"월급2,100,000",17시간전
경기 시흥시, sk명성셀프주유소,09:00~24:00,"월급2,350,000",18시간전
경북 김천시, 율곡행복주유소,09:00~20:00,"월급3,200,000",11/22
경기 시흥시, sk명성셀프주유소,09:00~24:00,"월급2,350,000",11/22
경기 안양시, SK에너지 기쁨두배주유소,15:00~21:00,"월급1,200,000",11/20
경기 시흥시, sk명성셀프주유소,09:00~24:00,"월급2,350,000",11/20
경기 용인시, SK에너지 풍덕천셀프주유소,09:00~18:00,"월급2,300,000",11/20
경기 용인시, 풍덕천셀프주유소,10:00~17:00,"시급8,590",11/20
경기 안산시, 준오토조이(주)성우주유소,08:00~19:00,"월급2,600,000",11/20
경기 남양주, SK에너지 호평첨단주유소,07:30~16:00,"시급8,590",11/20
경북 구미시, 4공단주유소,07:00~14:00,"시급8,590",11/20
경기 군포시, (주)한유에너지 금정주유소,시간협의,"시급8,590",11/20
충남 홍성군, 홍성자연주유소,08:00~17:00,"월급2,200,000",11/20
서울 서대문, 행촌제2주유소,08:00~22:00,"시급9,300",11/19
대전 서구, 창현주유소,09:00~20:00,"시급8,590",11/19
서울 강서구, 대영가스충전소,00:00~24:00,"월급2,300,000",11/19
경북 구미시, 4공단주유소,07:00~14:00,"시급8,590",11/19
경기 용인시, 한진가스충전소,16:00~24:00,"월급2,100,000",11/18
서울 마포구, (주)안국에너지 망원동주유소,10:30~19:00,"시급8,590",11/18
경기 연천군, SK에너지 통일주유소,07:00~13:00,"시급8,590",11/18
경북 구미시, 4공단주유소,07:00~14:00,"시급8,590",11/17
경기 시흥시, sk명성셀프주유소,09:00~24:00,"월급2,350,000",11/16
서울 마포구, (주)안국에너지 망원동주유소,10:30~19:00,"시급8,590",11/16
경기 안산시, (주)대한석유한대역주유소,10:00~20:00,"월급2,600,000",11/16
대구 동구, 국제주유소,12:00~18:00,"시급8,590",11/15
경북 포항시, 미소주유소,10:00~20:00,"시급9,000",11/14
서울 마포구, (주)안국에너지 망원동주유소,10:30~19:00,"시급8,590",11/12
광주 전체, 고창고인돌(하)주유소,08:00~20:00,"월급2,500,000",11/12
전북 전체, 고창고인돌(하)주유소,08:00~20:00,"월급2,500,000",11/12
서울 마포구, 양지세차장,08:00~18:00,"월급2,100,000",11/12
인천 부평구, 삼성세차장(손세차장),08:00~19:00,"월급2,100,000",11/12
서울 마포구, (주)안국에너지 망원동주유소,10:30~19:00,"시급8,590",11/11
서울 강남구, SK에너지 뉴서울주유소,09:00~16:00,"시급8,590",11/11
서울 강남구, 논현주유소,08:00~19:00,"월급2,417,000",11/10
서울 강남구, SK에너지 뉴서울주유소,09:00~16:00,"시급8,590",11/09
경기 용인시, 한진가스충전소,16:00~24:00,"월급2,100,000",11/09
서울 서대문, 행촌제2주유소,08:00~22:00,"시급9,300",11/09
