place,title,time,pay,date
경기 고양시, TGIF 롯데일산점,17:00~23:00,"시급8,590",7시간전
부산 동래구, TGIF 롯데동래점,12:00~21:00,"시급8,590",7시간전
경기 수원시, TGIF 수원롯데몰점,17:00~22:30,"시급8,590",8시간전
대전 서구, TGIF 롯데대전점,07:00~09:00,"시급8,590",8시간전
대전 서구, TGIF 롯데대전점,시간협의,"시급8,590",8시간전
부산 부산진, TGIF 서면점,시간협의,"시급8,590",10시간전
부산 중구, TGIF 롯데광복점,10:00~21:00,"시급8,590",10시간전
경기 안양시, TGIF 롯데평촌점,17:30~23:00,"시급8,590",11시간전
부산 부산진, TGIF 서면점,시간협의,"시급8,590",13시간전
부산 부산진, TGIF 서면점,시간협의,"시급8,590",14시간전
경기 용인시, TGI FRIDAYS 롯데몰수지점,10:00~15:30,"시급8,590",15시간전
부산 부산진, TGIF 서면점,시간협의,"시급8,590",15시간전
부산 부산진, TGIF 서면점,시간협의,"시급8,590",18시간전
부산 중구, TGIF 롯데광복점,10:00~21:00,"시급8,590",18시간전
부산 중구, TGIF 롯데광복점,10:00~21:00,"시급8,590",18시간전
경기 수원시, TGIF 수원롯데몰점,17:00~22:30,"시급8,590",11/22
경기 수원시, TGIF 수원롯데몰점,17:00~22:30,"시급8,590",11/21
경남 김해시, TGIF 김해아울렛점,12:00~21:00,"시급8,590",11/21
서울 노원구, TGIF 노원점,18:00~21:30,"시급8,590",11/20
경기 안양시, TGIF 롯데평촌점,17:30~23:00,"시급8,590",11/20
경기 수원시, TGIF 수원롯데몰점,17:00~22:30,"시급8,590",11/18
서울 강남구, (주)롯데리아 더푸드하우스 수서역사점,13:00~22:00,"시급8,590",11/18
경기 용인시, TGI FRIDAYS 롯데몰수지점,10:00~15:30,"시급8,590",11/17
경기 파주시, TGI FRIDAYS 파주아울렛점,18:00~23:00,"시급8,590",11/15
경기 수원시, TGIF 수원롯데몰점,11:00~22:30,"시급8,590",11/15
경남 김해시, TGIF 김해아울렛점,12:00~21:00,"시급8,590",11/14
경기 용인시, TGI FRIDAYS 롯데몰수지점,10:00~15:30,"시급8,590",11/14
서울 노원구, TGIF 노원점,18:00~21:30,"시급8,590",11/11
서울 강남구, (주)롯데리아 더푸드하우스 수서역사점,시간협의,"시급8,590",11/11
경기 안양시, TGIF 롯데평촌점,17:30~23:00,"시급8,590",11/11
경기 용인시, TGI FRIDAYS 롯데몰수지점,10:00~15:30,"시급8,590",11/10
경남 김해시, TGIF 김해아울렛점,12:00~21:00,"시급8,590",11/07
