place,title,time,pay,date
경기 수원시, 이마트 TRADERS 수원점,00:00~23:00,"시급10,620",21분전
경기 하남시, 트레이더스 하남점,06:00~23:00,"시급10,620",2시간전
서울 노원구, (주)이마트 트레이더스 월계점,09:00~17:00,"시급10,620",2시간전
경기 하남시, [이마트]스타필드 하남 몰리스펫샵,14:00~22:00,"시급9,700",2시간전
경기 안성시, 이마트 안성점,09:00~17:00,"시급9,700",2시간전
서울 노원구, (주)이마트월계점,09:00~23:00,"시급9,700",2시간전
경기 군포시, 이마트 트레이더스 군포점,06:00~23:00,"시급9,700",3시간전
경기 고양시, 이마트 트레이더스 고양점,00:00~24:00,"시급10,620",3시간전
경기 이천시, (주)이마트 이천점,07:00~15:00,"시급9,700",3시간전
경기 이천시, (주)이마트 이천점,07:00~15:00,"시급9,700",3시간전
대전 서구, 이마트 트레이더스 월평점,06:00~00:00,"시급9,700",4시간전
경기 화성시, 이마트 화성봉담점,10:00~18:00,"시급9,700",5시간전
서울 강남구, 이마트역삼점,09:00~17:00,"시급9,700",13시간전
서울 노원구, (주)이마트 트레이더스 월계점,22:00~06:00,"시급9,700",17시간전
서울 마포구, (주)이마트 마포점,09:00~17:00,"시급9,700",17시간전
경기 군포시, 이마트 트레이더스 군포점,06:00~23:00,"시급9,700",11/22
경기 하남시, 스타필드 하남 PK마켓,10:00~18:00,"시급9,700",11/22
경기 여주시, 이마트 여주점,09:00~23:00,"시급9,700",11/22
경기 수원시, 이마트 TRADERS 수원점,00:00~23:00,"시급9,700",11/22
경기 고양시, 이마트 트레이더스 고양점,00:00~24:00,"시급10,620",11/21
경기 하남시, 트레이더스 하남점,06:00~23:00,"시급10,620",11/21
경기 수원시, 이마트 TRADERS 수원점,00:00~23:00,"시급9,700",11/21
경기 고양시, 이마트 트레이더스 킨텍스점,22:00~06:00,"시급9,700",11/21
경기 하남시, 트레이더스 하남점,06:00~23:00,"시급10,620",11/20
경기 군포시, 이마트 트레이더스 군포점,06:00~23:00,"시급9,700",11/19
경기 하남시, (주)이마트,시간협의,"시급10,620",11/18
경기 군포시, 이마트 트레이더스 군포점,06:00~23:00,"시급9,700",11/18
세종 가람동, 이마트 세종점,08:00~23:00,"시급9,700",11/18
경기 수원시, 이마트 광교점,09:00~17:00,"시급9,700",11/16
경기 하남시, 트레이더스 하남점,06:00~23:00,"시급10,620",11/16
경기 하남시, 트레이더스 하남점,06:00~23:00,"시급10,620",11/14
경기 전체, (주)이마트,09:00~17:00,"시급9,700",11/13
경기 부천시, (주)이마트,09:30~17:30,"시급9,700",11/12
경기 용인시, (주)이마트,06:00~14:00,"시급9,700",11/09
경기 성남시, [이마트]스타필드 위례 몰리스펫샵,14:00~22:00,"시급9,700",11/08
