place,title,time,pay,date
세종 전체, 크라운호프 세종고운,18:00~01:00,"시급9,100",23분전
세종 고운동, 크라운호프 세종고운,17:30~01:30,"월급2,200,000",23분전
서울 강서구, 경성주막1929 송정역점,17:00~03:00,"월급2,100,000",30분전
서울 강서구, 경성주막1929 송정역점,17:00~03:00,"월급2,100,000",30분전
서울 강서구, 경성주막1929 송정역점,17:00~03:00,"월급2,100,000",30분전
서울 강서구, 경성주막1929 송정역점,17:00~03:00,"월급2,100,000",30분전
서울 강서구, 경성주막1929 송정역점,17:00~03:00,"월급2,100,000",31분전
세종 전체, 크라운호프 세종고운,18:00~01:00,"시급10,380",43분전
세종 고운동, 크라운호프 세종고운,17:30~01:30,"월급2,200,000",45분전
경기 시흥시, 크라운호프 배곧신도시점,18:00~05:00,"월급2,600,000",58분전
전북 전주시, 크라운호프 송천2호점,20:00~00:00,"시급8,590",1시간전
경기 고양시, 크라운호프 일산라페스타,17:00~05:00,"월급2,400,000",1시간전
인천 미추홀, 크라운호프 인하대역,19:00~23:00,"시급8,590",1시간전
인천 미추홀, 크라운호프 인하대역,23:00~03:30,"시급8,590",1시간전
서울 강동구, 크라운호프 천호점,16:30~03:30,"월급2,600,000",1시간전
서울 강동구, 크라운호프 천호점,16:30~03:30,"월급2,600,000",1시간전
대구 달성군, 크라운호프 대구옥포점,20:00~03:00,"시급8,590",1시간전
대구 동구, 크라운호프 대구율하,17:00~03:00,"시급8,590",2시간전
경기 오산시, 크라운호프 오산대역점,20:00~01:00,"시급8,700",2시간전
울산 북구, 크라운호프 울산송정,시간협의,"시급8,590",2시간전
전북 전주시, 크라운호프 전주호성점,04:00~02:00,"시급8,590",2시간전
경기 안성시, 경성주막1929 안성공도,20:00~02:00,"시급9,000",3시간전
경기 안성시, 경성주막1929 안성공도,20:00~02:00,"시급9,000",3시간전
경기 안성시, 경성주막1929 안성공도,20:00~02:00,"시급9,000",3시간전
광주 북구, 크라운호프 광주운암점,21:00~03:00,"시급8,590",3시간전
경남 김해시, 크라운호프 김해삼계점,17:00~03:00,"시급9,000",3시간전
경남 양산시, 크라운호프 양산증산,17:00~02:00,"시급9,000",3시간전
대구 달성군, 크라운호프 대구옥포점,시간협의,"시급8,590",4시간전
전북 전주시, 크라운호프 전주삼천점,21:00~04:00,"시급9,000",4시간전
대구 달성군, 크라운호프 현풍테크노폴리스점,20:00~01:00,"시급9,500",4시간전
대구 달성군, 크라운호프 대구옥포점,시간협의,"시급8,590",6시간전
경기 화성시, 크라운호프 동탄북광장점,19:00~24:00,"시급9,000",6시간전
인천 미추홀, 크라운호프 인하대역,19:00~23:00,"시급8,590",6시간전
전북 전주시, 크라운호프 전주삼천점,21:00~04:00,"시급9,000",6시간전
대구 달성군, 크라운호프 대구옥포점,시간협의,"시급8,590",6시간전
제주 제주시, 크라운호프 제주도남점,19:00~02:00,"월급1,920,000",6시간전
제주 제주시, 크라운호프 제주도남점,시간협의,"시급8,800",6시간전
인천 연수구, 크라운호프 송도캠퍼스타운점,17:00~02:00,"월급2,400,000",6시간전
전북 전주시, 크라운호프 전주호성점,04:00~02:00,"시급8,590",7시간전
충남 천안시, 크라운호프 천안성성점,18:00~24:00,"시급8,590",7시간전
충남 천안시, 크라운호프 천안성성점,18:00~24:00,"시급8,590",7시간전
경남 진주시, 크라운호프 진주계동점,19:00~04:00,"월급2,000,000",7시간전
울산 북구, 크라운호프 울산송정,시간협의,"시급8,590",7시간전
울산 전체, 크라운호프 울산병영,17:00~03:00,"월급2,300,000",7시간전
울산 중구, 크라운호프 울산성안,시간협의,"시급9,000",8시간전
전북 전주시, 크라운호프 전주호성점,04:00~02:00,"시급8,590",8시간전
울산 중구, 크라운호프 우정혁신점,18:00~01:00,"시급8,600",8시간전
대구 달성군, 크라운호프 대구다사점,19:00~01:00,"시급8,720",8시간전
경기 수원시, 크라운호프 수원금곡점,19:00~03:00,"시급8,590",8시간전
대구 달성군, 크라운호프 대구다사점,21:00~01:00,"시급8,720",8시간전
