place,title,time,pay,date
경북 구미시, 유치초등저학년전문 기탄공부방,14:00~18:00,"월급2,000,000",3시간전
경기 구리시, (주)기탄러닝,14:00~18:00,"월급2,000,000",11/21
경기 남양주, (주)기탄러닝,14:00~18:00,"월급2,000,000",11/21
경기 파주시, (주)기탄러닝,14:00~18:00,"월급2,500,000",11/21
경기 안양시, (주)기탄러닝,14:00~18:00,"월급2,000,000",11/21
경기 하남시, (주)기탄러닝,13:00~18:00,"연봉20,000,000",11/20
경기 하남시, (주)기탄러닝,13:00~18:00,"연봉20,000,000",11/20
서울 강동구, (주)기탄러닝,01:00~18:00,"연봉20,000,000",11/20
경기 광주시, (주)기탄러닝,14:00~18:00,"월급2,500,000",11/20
경기 성남시, (주)기탄러닝,14:00~18:00,"월급2,500,000",11/20
경기 광주시, (주)기탄러닝,14:00~18:00,"월급2,500,000",11/20
경기 광주시, (주)기탄러닝,14:00~18:00,"월급2,500,000",11/20
경기 광주시, (주)기탄러닝,14:00~18:00,"월급2,500,000",11/20
경기 용인시, (주)기탄러닝,13:00~18:00,"월급2,000,000",11/15
경기 용인시, (주)기탄러닝,13:00~18:00,"월급2,000,000",11/13
경기 용인시, (주)기탄러닝,13:00~18:00,"월급2,000,000",11/08
