place,title,time,pay,date
경기 이천시, 깐부치킨 라온팰리스점,17:00~02:00,"월급1,900,000",1시간전
경기 이천시, 깐부치킨 라온팰리스점,17:00~02:00,"월급1,900,000",1시간전
경기 이천시, 깐부치킨 라온팰리스점,17:00~02:00,"월급1,900,000",1시간전
서울 송파구, 깐부치킨 가락본동점,14:00~02:00,"월급2,600,000",2시간전
서울 강남구, 깐부치킨 학동역점,14:00~01:00,"월급2,900,000",2시간전
경기 용인시, 깐부치킨 수지구청점,19:00~01:20,"시급8,590",4시간전
경기 화성시, 깐부치킨 동양파라곤점,16:00~01:00,"월급2,600,000",7시간전
경기 안산시, 깐부치킨 안산신길지구점,18:30~22:00,"시급8,600",8시간전
서울 용산구, 깐부치킨 용산파크해링턴점,03:00~01:00,"월급2,900,000",8시간전
서울 용산구, 깐부치킨 용산파크해링턴점,03:00~01:00,"월급2,900,000",8시간전
경기 용인시, 깐부치킨 수지구청점,19:00~01:20,"시급8,590",13시간전
서울 영등포, 깐부치킨 동여의도점,18:00~01:00,"시급10,000",17시간전
서울 강남구, 깐부치킨 개포점,16:00~01:00,"시급9,000",11/22
서울 강남구, 깐부치킨 청담,18:00~01:00,"시급9,000",11/22
서울 강남구, 깐부치킨 청담,18:00~01:00,"시급9,000",11/21
경기 성남시, 깐부치킨 분당서현점,15:00~00:00,"월급800,000",11/20
경기 용인시, 깐부치킨 성복,18:00~24:00,"시급8,590",11/20
경기 용인시, 깐부치킨 수지구청점,19:00~01:20,"시급8,590",11/20
서울 강서구, 깐부치킨 마곡중앙점,16:00~00:30,"시급10,500",11/20
서울 마포구, 깐부치킨 메세나폴리스점,18:00~24:00,"시급8,600",11/20
서울 강서구, 깐부치킨 증미역점,18:00~00:30,"시급10,500",11/20
서울 마포구, 깐부치킨 메세나폴리스점,18:00~24:00,"시급8,600",11/20
서울 서초구, 깐부치킨 구반포,14:30~01:00,"월급2,600,000",11/19
서울 중구, 깐부치킨 서울역한라비발디점,18:00~24:00,"시급8,590",11/19
서울 중구, 깐부치킨 서울역한라비발디점,18:00~24:00,"시급8,590",11/19
서울 중구, 깐부치킨 서울역한라비발디점,18:00~24:00,"시급8,590",11/19
서울 중구, 깐부치킨 서울역한라비발디점,18:00~24:00,"시급8,590",11/19
서울 서초구, 깐부치킨 구반포,14:30~01:00,"월급2,600,000",11/18
인천 남동구, 깐부치킨 인천논현점,19:00~24:00,"시급8,720",11/17
인천 남동구, 깐부치킨 인천논현점,16:00~01:30,"월급2,500,000",11/17
서울 강남구, 깐부치킨 역삼스타타워점,18:00~01:00,"시급11,000",11/17
서울 강남구, 깐부치킨 역삼스타타워점,18:00~01:00,"시급11,000",11/17
경기 성남시, 깐부치킨 분당서현점,15:00~01:00,"월급2,500,000",11/16
서울 서초구, 깐부치킨 구반포,14:30~01:00,"월급2,600,000",11/15
서울 용산구, 깐부치킨 용산푸르지오써밋점,18:00~01:00,"시급9,000",11/14
서울 용산구, 깐부치킨 용산푸르지오써밋점,14:00~01:00,"월급3,000,000",11/14
서울 강남구, 깐부치킨 한티점,15:00~01:00,"월급2,400,000",11/14
서울 전체, 깐부치킨 한티점,18:00~01:30,"시급10,000",11/14
인천 연수구, 깐부치킨 68공구마리나베이점,19:00~23:00,"시급9,000",11/14
경기 성남시, 깐부치킨 분당서현점,14:30~01:00,"월급2,700,000",11/14
경기 안산시, 깐부치킨 안산고잔점,15:00~01:00,"월급1,950,000",11/14
경기 안산시, 깐부치킨 안산고잔점,15:00~01:00,"월급1,950,000",11/13
인천 연수구, 깐부치킨 68공구마리나베이점,14:00~01:00,"월급2,500,000",11/09
경기 의정부, 깐부치킨 의정부신곡점,19:00~00:00,"시급8,590",11/09
서울 서초구, 깐부치킨 예술의전당점,16:00~24:00,"시급8,590",11/08
서울 서초구, 깐부치킨 예술의전당점,16:00~24:00,"시급8,590",11/08
서울 영등포, 깐부치킨 선유도역점,15:00~24:00,"월급2,500,000",11/08
경기 안산시, 깐부치킨 안산신길지구점,22:00~03:00,"시급8,600",11/08
경기 안산시, 깐부치킨 안산신길지구점,15:00~12:00,"월급2,500,000",11/08
