place,title,time,pay,date
서울 서대문, (주)러쉬코리아,11:00~22:00,"시급10,350",1시간전
서울 서초구, (주)러쉬코리아 강남역점,10:00~23:00,"시급10,350",2시간전
경기 용인시, (주)러쉬코리아,12:00~09:00,"시급10,350",3시간전
경남 창원시, (주)러쉬코리아,09:30~20:30,"시급10,350",6시간전
경기 용인시, (주)러쉬코리아,10:30~19:30,"시급10,350",6시간전
서울 전체, (주)러쉬코리아,10:00~20:30,"시급10,350",7시간전
경기 고양시, (주)러쉬코리아,11:00~20:00,"시급10,350",13시간전
서울 용산구, (주)러쉬코리아,10:00~22:00,"시급10,350",11/22
경기 성남시, (주)러쉬코리아 롯데백화점 분당점,09:00~20:30,"시급10,350",11/22
대구 전체, (주)러쉬코리아,14:00~19:00,"시급10,350",11/21
경기 용인시, (주)러쉬코리아,12:00~09:00,"시급10,350",11/19
서울 서대문, (주)러쉬코리아,11:00~22:00,"시급10,350",11/19
경기 수원시, (주)러쉬코리아,09:30~20:40,"시급10,350",11/19
경기 하남시, (주)러쉬코리아,13:00~22:00,"시급10,350",11/17
서울 전체, (주)러쉬코리아,10:00~22:00,"시급10,350",11/16
부산 전체, (주)러쉬코리아,11:00~20:00,"시급10,350",11/16
충남 천안시, (주)러쉬코리아,11:00~08:30,"시급10,050",11/14
경기 성남시, (주)러쉬코리아 롯데백화점 분당점,09:00~20:30,"시급10,350",11/13
경기 용인시, (주)러쉬코리아,12:00~09:00,"시급10,350",11/13
서울 영등포, (주)러쉬코리아 여의도IFC몰,10:00~22:00,"시급10,350",11/10
