place,title,time,pay,date
서울 강남구, 롯데리아 강남우성사거리점,00:00~24:00,"시급8,590",2시간전
서울 강남구, 롯데리아 강남우성사거리점,00:00~24:00,"시급8,590",2시간전
전남 목포시, 롯데리아 목포상동점,00:00~24:00,"시급8,590",2시간전
전남 목포시, 롯데리아 목포상동점,00:00~24:00,"시급8,590",2시간전
전남 목포시, 롯데리아 목포상동점,00:00~24:00,"시급8,590",2시간전
전남 목포시, 롯데리아 목포상동점,00:00~24:00,"시급8,590",2시간전
전남 목포시, 롯데리아 목포상동점,00:00~24:00,"시급8,590",2시간전
부산 기장군, 롯데리아 부산정관점,16:00~22:00,"시급8,600",3시간전
서울 성북구, 롯데리아 석관점,00:00~24:00,"월급1,900,000",3시간전
서울 성북구, 롯데리아 석관점,00:00~24:00,"월급1,900,000",3시간전
서울 성북구, 롯데리아 석관점,00:00~24:00,"월급1,900,000",3시간전
서울 성북구, 롯데리아 석관점,00:00~24:00,"시급8,590",3시간전
서울 성북구, 롯데리아 석관점,00:00~24:00,"시급8,590",3시간전
부산 부산진, 롯데리아 부산점포점,10:00~24:30,"시급8,590",5시간전
서울 강남구, 롯데리아 강남우성사거리점,00:00~24:00,"시급8,590",5시간전
경남 창원시, 롯데리아 롯데마트시티세븐점,18:00~22:30,"시급8,590",5시간전
경기 김포시, 롯데리아 롯데리아 김포사우점,10:00~23:00,"시급8,590",5시간전
경기 김포시, 롯데리아 롯데리아 김포사우점,10:00~23:00,"시급11,000",5시간전
경기 화성시, 롯데리아 화성발안점,17:00~24:00,"시급8,590",5시간전
경기 화성시, 롯데리아 화성발안점,17:00~24:00,"시급8,590",5시간전
부산 부산진, 롯데리아 부산점포점,10:00~24:30,"시급8,590",6시간전
경남 진주시, 롯데리아 진주초전D/I점,09:00~01:00,"시급8,590",6시간전
경남 진주시, 롯데리아 진주초전D/I점,09:00~01:00,"시급8,590",6시간전
부산 부산진, 롯데리아 부산점포점,10:00~24:30,"시급8,590",6시간전
대구 달서구, 롯데리아 대구성당D/T점,23:00~07:00,"시급12,885",6시간전
대구 달서구, 롯데리아 대구성당D/T점,23:00~07:00,"시급12,885",6시간전
대구 달서구, 롯데리아 대구성당D/T점,23:00~07:00,"시급12,885",6시간전
대구 달서구, 롯데리아 대구성당D/T점,23:00~07:00,"시급12,885",6시간전
대구 달서구, 롯데리아 대구성당D/T점,23:00~07:00,"시급12,885",6시간전
경남 김해시, 롯데리아 김해진영점,17:00~20:00,"시급8,590",6시간전
경남 김해시, 롯데리아 김해진영점,11:30~17:00,"시급8,590",6시간전
서울 광진구, 롯데리아 구의점,06:00~21:00,"시급8,590",6시간전
서울 광진구, 롯데리아 구의점,06:00~21:00,"시급8,590",6시간전
서울 광진구, 롯데리아 구의점,06:00~21:00,"시급8,590",6시간전
서울 광진구, 롯데리아 구의점,06:00~21:00,"시급8,590",6시간전
경기 수원시, 롯데리아 수원권선점,08:00~23:00,"월급2,000,000",6시간전
경기 수원시, 롯데리아 수원권선점,09:00~18:00,"시급10,000",6시간전
경기 수원시, 롯데리아 수원권선점,09:00~18:00,"시급10,000",6시간전
경기 수원시, 롯데리아 수원권선점,09:00~24:00,"시급8,590",6시간전
경기 수원시, 롯데리아 수원권선점,09:00~24:00,"시급8,590",6시간전
광주 북구, 롯데리아 광주용봉점,09:00~23:00,"월급2,000,000",6시간전
서울 종로구, 롯데리아 종각역점,  :  ~  :  ,"시급8,590",6시간전
서울 종로구, 롯데리아 종각역점,  :  ~  :  ,"시급8,590",6시간전
서울 종로구, 롯데리아 종각역점,  :  ~  :  ,"시급8,590",6시간전
서울 종로구, 롯데리아 종각역점,  :  ~  :  ,"시급8,590",6시간전
서울 종로구, 롯데리아 종각역점,  :  ~  :  ,"시급8,590",6시간전
서울 강남구, 롯데리아 강남우성사거리점,00:00~24:00,"시급8,590",6시간전
경기 양주시, 롯데리아 양주옥정점,10:00~22:00,"월급2,300,000",7시간전
인천 남동구, 롯데리아 인천구월점,08:00~23:00,"월급2,000,000",7시간전
인천 남동구, 롯데리아 인천구월점,09:00~23:00,"시급8,590",7시간전
