place,title,time,pay,date
경남 창원시, 롭스 창원상남점,16:30~22:00,"시급8,590",7분전
서울 송파구, 롭스 월드몰2호점,12:00~17:00,"시급8,590",20분전
경북 포항시, 롭스 포항점,16:30~21:00,"시급8,590",26분전
경기 수원시, 롭스 수원몰점,16:30~22:00,"시급8,590",38분전
경기 양평군, 롭스 경기롯데마트양평점,10:00~13:00,"시급8,590",58분전
서울 용산구, 롭스 용산역점,08:00~15:00,"시급8,590",1시간전
경기 안산시, 롭스 안산중앙점,10:00~17:00,"시급8,590",1시간전
서울 강남구, 롭스 가로수길점,10:00~15:00,"시급8,590",2시간전
서울 성동구, 롭스 왕십리역사점,09:00~15:30,"시급8,590",3시간전
서울 송파구, 롭스 잠실점,16:00~21:30,"시급8,590",8시간전
대전 동구, 롭스 대전역사점,10:00~14:30,"시급8,590",11시간전
서울 강남구, 롭스 강남점,15:30~22:00,"시급8,590",11/23
경기 성남시, 롭스 수내점,10:00~15:00,"시급8,590",11/22
경기 수원시, 롭스 수원역사점,10:00~14:30,"시급10,308",11/21
서울 송파구, 롭스 잠실캐슬점,18:00~22:30,"시급8,590",11/20
경북 포항시, 롭스 포항점,16:30~21:00,"시급8,590",11/19
서울 동작구, 롭스 이수점,19:00~22:30,"시급8,590",11/19
서울 동작구, 롭스 이수점,12:30~16:00,"시급8,590",11/19
서울 강남구, 롭스 신논현점,12:30~16:00,"시급8,590",11/17
서울 강남구, 롭스 신논현점,12:30~16:00,"시급8,590",11/17
서울 전체, 롯데쇼핑㈜ H&B사업본부 (롭스) 이,17:30~21:00,"시급8,590",11/15
경남 양산시, 롭스 양산점,16:30~22:00,"시급8,590",11/12
