place,title,time,pay,date
부산 동래구, 마왕족발 부산사직점,16:00~24:00,"월급2,000,000",2시간전
인천 연수구, 마왕족발 인천연수점,15:00~01:00,"월급2,320,000",5시간전
경기 시흥시, 마왕족발 시흥목감점,17:00~22:00,"시급8,590",5시간전
경기 시흥시, 마왕족발 시흥목감점,17:00~22:00,"시급8,590",5시간전
경기 성남시, 마왕족발 성남모란점,12:00~24:00,"월급2,800,000",6시간전
경기 안양시, 마왕족발 안양1번가점,  :  ~  :  ,"시급9,380",17시간전
울산 남구, 마왕족발 울산동구일산점,17:00~01:00,"시급9,000",17시간전
울산 남구, 마왕족발 울산동구일산점,17:00~01:00,"시급9,000",17시간전
울산 남구, 마왕족발 울산동구일산점,17:00~01:00,"시급9,000",17시간전
울산 남구, 마왕족발 울산동구일산점,17:00~01:00,"시급9,000",17시간전
경기 용인시, 마왕족발 용인동백점,15:00~24:00,"월급2,300,000",17시간전
경기 용인시, 마왕족발 용인동백점,15:00~24:00,"월급2,300,000",17시간전
경기 용인시, 마왕족발 용인동백점,15:00~24:00,"월급2,300,000",17시간전
경기 고양시, 마왕족발 일산대화원마운트점,15:00~24:00,"월급2,500,000",17시간전
경기 고양시, 마왕족발 일산대화원마운트점,15:00~24:00,"월급2,500,000",17시간전
경기 고양시, 마왕족발 일산대화원마운트점,15:00~24:00,"월급2,500,000",17시간전
경남 밀양시, 마왕족발 밀양점,  :  ~  :  ,"시급9,000",17시간전
경남 밀양시, 마왕족발 밀양점,  :  ~  :  ,"시급9,000",17시간전
경남 밀양시, 마왕족발 밀양점,  :  ~  :  ,"시급9,000",17시간전
경기 안양시, 마왕족발 안양1번가점,  :  ~  :  ,"시급9,380",18시간전
경기 안양시, 마왕족발 안양1번가점,  :  ~  :  ,"시급9,380",18시간전
경기 안양시, 마왕족발 안양1번가점,  :  ~  :  ,"시급9,380",18시간전
부산 수영구, 마왕족발 부산수영점,16:00~01:00,"월급2,200,000",18시간전
부산 수영구, 마왕족발 부산수영점,16:00~01:00,"월급2,200,000",18시간전
부산 수영구, 마왕족발 부산수영점,16:00~01:00,"월급2,200,000",18시간전
경기 안양시, 마왕족발 안양1번가점,시간협의,"시급9,380",11/20
경북 구미시, 마왕족발 구미상모사곡점,15:00~24:00,"월급2,200,000",11/20
경북 구미시, 마왕족발 구미상모사곡점,15:00~24:00,"월급2,200,000",11/20
강원 원주시, 마왕족발 원주혁신도시점,17:00~22:00,"시급9,000",11/17
강원 원주시, 마왕족발 원주혁신도시점,14:00~24:00,"월급2,300,000",11/17
광주 광산구, 마왕족발 광주수완점,16:00~03:00,"월급2,100,000",11/16
경남 밀양시, 마왕족발 밀양점,시간협의,"시급9,000",11/15
광주 광산구, 마왕족발 광주수완점,16:00~03:00,"월급2,100,000",11/15
경기 김포시, 마왕족발 신정점,15:00~01:00,"월급2,000,000",11/13
경기 김포시, 마왕족발 신정점,15:00~01:00,"월급2,000,000",11/13
경기 김포시, 마왕족발 신정점,15:00~01:00,"월급2,000,000",11/13
경기 고양시, 마왕족발 일산대화원마운트점,15:00~24:00,"월급2,500,000",11/10
