place,title,time,pay,date
광주 서구, 매드포갈릭 광주광천점,12:30~22:00,"시급10,310",41분전
부산 해운대, 매드포갈릭 해운대점,13:00~21:30,"시급10,310",1시간전
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,310",1시간전
울산 전체, 매드포갈릭 울산현대백화점,12:00~21:00,"시급8,590",2시간전
서울 강서구, 매드포갈릭 발산점,12:00~21:00,"시급10,310",2시간전
서울 강서구, 매드포갈릭 발산점,12:00~21:00,"시급10,310",3시간전
서울 금천구, 엠에프지코리아 매드포갈릭 가산점,12:00~21:00,"시급10,310",3시간전
경기 평택시, 매드포갈릭 평택AK플라자점,11:30~20:30,"시급10,310",3시간전
경기 성남시, 매드포갈릭 분당서현점,12:00~21:00,"시급10,310",3시간전
서울 광진구, 매드포갈릭 건대스타시티점,13:00~22:00,"시급10,310",3시간전
서울 금천구, 엠에프지코리아 매드포갈릭 가산점,12:00~21:00,"시급10,310",3시간전
서울 전체, (주)엠에프지코리아 매드포갈릭 잠원점,12:30~21:30,"시급10,310",3시간전
서울 전체, (주)엠에프지코리아 매드포갈릭 잠원점,12:30~21:30,"시급10,310",4시간전
서울 광진구, 매드포갈릭 건대스타시티점,13:00~22:00,"시급10,310",4시간전
광주 서구, 매드포갈릭 광주광천점,12:00~21:00,"시급10,310",5시간전
서울 전체, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,310",5시간전
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,310",5시간전
서울 서초구, 매드포갈릭 삼성타운점,12:00~21:00,"시급10,310",5시간전
경기 수원시, 매드포갈릭 수원롯데점,12:30~21:30,"시급10,310",5시간전
경기 의정부, (주)MFG 코리아 매드포갈릭 의정부,12:30~21:30,"시급10,310",5시간전
경기 고양시, 엠에프지코리아 매드포갈릭 일산웨스턴돔,12:00~21:00,"시급10,310",6시간전
서울 강서구, 매드포갈릭 발산점,12:00~21:00,"시급10,310",7시간전
울산 남구, 매드포갈릭 울산현대백화점,18:00~21:30,"시급8,590",7시간전
서울 광진구, 매드포갈릭 건대스타시티점,13:00~22:00,"시급10,310",10시간전
서울 금천구, 엠에프지코리아 매드포갈릭 가산점,12:00~21:00,"시급10,310",10시간전
대전 서구, 매드포갈릭 대전둔산점,12:00~21:00,"시급10,310",15시간전
인천 연수구, 매드포갈릭 송도점,15:30~21:00,"시급10,310",16시간전
경기 평택시, 매드포갈릭 평택AK플라자점,11:30~20:30,"시급10,310",11/22
서울 마포구, 주식회사 엠에프지코리아매드포갈릭합정점,12:00~21:00,"시급10,310",11/22
울산 전체, 매드포갈릭 울산현대백화점,12:00~21:00,"시급8,590",11/22
대전 서구, 매드포갈릭 대전둔산점,18:00~21:00,"시급10,310",11/22
광주 서구, 매드포갈릭 광주광천점,12:30~22:00,"시급10,310",11/22
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,310",11/22
경기 고양시, 엠에프지코리아 매드포갈릭 일산웨스턴돔,12:00~21:00,"시급10,310",11/22
서울 금천구, 엠에프지코리아 매드포갈릭 가산점,12:00~21:00,"시급10,310",11/22
서울 마포구, 매드포갈릭 상암MBC점,09:00~21:30,"시급10,310",11/22
경기 수원시, 매드포갈릭 수원인계점,12:00~21:00,"시급10,310",11/21
경기 평택시, 매드포갈릭 평택AK플라자점,11:30~20:30,"시급10,310",11/21
광주 서구, 매드포갈릭 광주광천점,12:30~22:00,"시급10,310",11/21
서울 서초구, 매드포갈릭 예술의 전당점,11:30~20:30,"시급10,310",11/21
서울 광진구, 매드포갈릭 건대스타시티점,13:00~22:00,"시급10,310",11/21
부산 해운대, 매드포갈릭 해운대점,13:00~21:30,"시급10,310",11/21
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,310",11/21
서울 양천구, 매드포갈릭 목동점,18:00~21:00,"시급10,310",11/21
울산 전체, 매드포갈릭 울산현대백화점,12:00~21:00,"시급8,590",11/21
인천 연수구, 매드포갈릭 송도점,15:30~21:00,"시급10,310",11/21
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,310",11/21
서울 마포구, 주식회사엠에프지코리아매드포갈릭합정점,12:00~21:00,"시급10,310",11/20
울산 전체, 매드포갈릭 울산현대백화점,12:00~21:00,"시급8,590",11/20
서울 중구, 매드포갈릭 센터원점,11:00~20:00,"시급10,310",11/20
