place,title,time,pay,date
서울 동작구, 매머드커피 상도역점,12:00~17:00,"시급8,590",1시간전
서울 중구, 매머드커피 퍼시픽타워,08:00~13:30,"시급8,590",1시간전
경기 부천시, 매머드커피 신중동역,16:00~22:00,"시급8,590",2시간전
경기 성남시, 매머드커피 판교,13:30~21:00,"시급8,600",3시간전
경기 성남시, 매머드커피 판교제2테크노벨리점,07:30~12:00,"시급10,308",3시간전
경기 성남시, 매머드커피 판교,13:30~21:00,"시급8,600",4시간전
서울 성동구, 매머드커피 서울숲,12:00~22:00,"시급8,590",7시간전
서울 중구, 매머드커피 퍼시픽타워,08:00~13:30,"시급8,590",11/22
서울 전체, 매머드커피 봉천역,13:00~18:00,"시급8,590",11/21
서울 전체, 매머드커피 봉천역,18:00~22:00,"시급8,590",11/21
서울 전체, 매머드커피 봉천역,18:00~22:00,"시급8,590",11/21
경기 성남시, 매머드커피 판교제2테크노벨리점,07:30~12:00,"시급10,308",11/21
서울 동작구, 매머드커피 상도역점,17:00~21:00,"시급8,590",11/21
인천 남동구, 매머드커피 인천시청점,16:00~22:00,"시급8,590",11/20
서울 중구, 매머드커피 퍼시픽타워,08:00~13:30,"시급8,590",11/20
서울 강남구, 매머드커피 역삼역점,11:00~19:00,"시급8,590",11/19
서울 강남구, 매머드커피 역삼역점,07:00~14:30,"시급8,590",11/19
서울 영등포, 매머드커피 여의도증권가,08:00~13:30,"시급10,308",11/15
서울 영등포, 매머드커피 여의도증권가,08:00~13:30,"시급10,308",11/14
서울 영등포, 매머드커피 여의도증권가,08:00~13:30,"시급10,308",11/14
서울 영등포, 매머드커피 여의도증권가,08:00~13:30,"시급10,308",11/13
서울 종로구, 매머드커피 효제동,08:00~17:00,"시급8,590",11/10
서울 종로구, 매머드커피 종로5가,08:00~15:00,"시급8,590",11/10
인천 남동구, 매머드커피 인천시청점,16:00~22:00,"시급8,590",11/08
