place,title,time,pay,date
인천 서구, 멕시카나 청라루원시티점(인남),18:00~22:00,"시급8,590",1시간전
전북 군산시, 멕시카나 조촌(전북),15:00~24:00,"시급8,600",2시간전
충북 청주시, 멕시카나 율량점,16:30~24:00,"시급9,000",11/22
충남 홍성군, 멕시카나 광천(중부),06:00~24:00,"시급8,720",11/20
충남 홍성군, 멕시카나 광천(중부),06:00~12:00,"시급8,720",11/20
경기 안양시, 멕시카나 관양점,17:00~02:00,"월급2,400,000",11/19
서울 노원구, 멕시카나 노원역점,18:00~22:30,"시급8,700",11/17
충북 청주시, 멕시카나 옥산점(중부),18:00~22:00,"시급8,590",11/17
대전 유성구, 멕시카나 대전죽동점(중부),17:30~21:30,"시급10,000",11/17
전북 군산시, 멕시카나 나운점(호남),05:00~24:00,"시급9,000",11/13
전북 군산시, 멕시카나 나운2지곡점,17:00~24:00,"시급9,000",11/13
경기 시흥시, 멕시카나 배곧해피점,17:00~24:00,"월급2,000,000",11/12
인천 중구, 멕시카나 동인천율목,16:00~01:00,"시급8,590",11/09
인천 서구, 멕시카나 청라루원시티점(인남),18:00~22:00,"시급8,590",11/07
