place,title,time,pay,date
서울 영등포, 미니스톱 여의IFC점,15:00~22:00,"시급8,590",41분전
서울 영등포, 미니스톱 여의IFC점,15:00~22:00,"시급8,590",41분전
서울 영등포, 미니스톱 여의IFC점,15:00~22:00,"시급8,590",41분전
서울 영등포, 미니스톱 여의IFC점,15:00~22:00,"시급8,590",6시간전
경기 화성시, 미니스톱 삼성시티점,15:00~22:00,"시급8,600",6시간전
경북 포항시, 미니스톱 포항유강대림점,23:00~06:00,"시급8,590",6시간전
전북 전주시, 미니스톱 평화호반점,00:00~06:00,"시급8,590",11/17
전북 전주시, 미니스톱 평화호반점,00:00~06:00,"시급8,590",11/17
전북 전주시, 미니스톱 평화호반점,00:00~06:00,"시급8,590",11/17
전북 전주시, 미니스톱 평화호반점,00:00~06:00,"시급8,590",11/17
광주 광산구, 미니스톱 하남주공점,00:00~24:00,"시급8,590",11/17
광주 광산구, 미니스톱 하남주공점,00:00~24:00,"시급8,590",11/17
광주 광산구, 미니스톱 하남주공점,00:00~24:00,"시급8,590",11/17
광주 광산구, 미니스톱 하남주공점,00:00~24:00,"시급8,590",11/17
광주 광산구, 미니스톱 하남주공점,00:00~24:00,"시급8,590",11/17
서울 강남구, 미니스톱 강남센터점,15:00~22:00,"시급8,590",11/16
서울 강남구, 미니스톱 강남센터점,15:00~22:00,"시급8,590",11/16
서울 강남구, 미니스톱 강남센터점,15:00~22:00,"시급8,590",11/16
서울 영등포, 미니스톱 역삼타워점,00:00~24:00,"시급8,590",11/16
경기 평택시, 미니스톱 평택소사벌점,16:00~24:00,"시급8,590",11/15
경기 평택시, 미니스톱 평택소사벌점,16:00~24:00,"시급8,590",11/15
경기 평택시, 미니스톱 평택소사벌점,16:00~24:00,"시급8,590",11/15
경기 평택시, 미니스톱 평택소사벌점,16:00~24:00,"시급8,590",11/15
경기 평택시, 미니스톱 평택소사벌점,16:00~24:00,"시급8,590",11/15
서울 중구, 미니스톱 사당역점,19:00~22:00,"시급8,800",11/13
충남 전체, 미니스톱 아산초원점,22:00~09:00,"시급9,000",11/11
서울 중구, 미니스톱 사당역점,14:00~16:00,"시급8,590",11/08
서울 중구, 미니스톱 사당역점,19:00~22:00,"시급8,590",11/08
서울 중구, 미니스톱 사당역점,19:00~22:00,"시급8,590",11/07
