place,title,time,pay,date
인천 계양구, 더본코리아 새마을식당 계양구청점,시간협의,"시급9,500",3분전
광주 전체, 더본코리아 롤링파스타 광주수완점,09:00~22:00,"월급2,000,000",5분전
경기 광명시, 더본코리아 홍콩반점0410 광명철산점,10:30~22:30,"월급2,600,000",6분전
경기 광명시, 더본코리아 홍콩반점0410 광명철산점,10:30~22:30,"월급2,300,000",6분전
경기 파주시, 더본코리아 돌배기집 파주운정산내점,10:30~22:30,"일급100,000",8분전
경남 양산시, 홍콩반점0410 양산역점,17:30~21:30,"시급8,590",8분전
경남 양산시, 홍콩반점0410 양산역점,17:30~21:30,"시급8,590",9분전
서울 동작구, 더본코리아 홍콩반점0410 중앙대점,10:00~22:00,"월급2,200,000",9분전
서울 동작구, 더본코리아 홍콩반점0410 중앙대점,10:00~22:00,"월급2,200,000",10분전
경기 시흥시, 홍콩반점0410 시흥배곧신도시점,10:30~22:30,"월급2,500,000",11분전
부산 해운대, 리춘시장 부산해운대점,19:00~02:00,"시급8,590",13분전
경기 파주시, 더본코리아 돌배기집 파주운정산내점,10:30~22:30,"월급2,600,000",13분전
충북 청주시, 더본코리아 한신포차 청주율량점,18:00~04:00,"월급2,250,000",13분전
부산 해운대, 리춘시장 부산해운대점,19:00~02:00,"시급8,590",13분전
충북 청주시, 더본코리아 한신포차 청주율량점,18:00~04:00,"월급2,250,000",14분전
대구 달서구, 더본코리아 홍콩반점0410 대구월성점,18:00~21:30,"시급8,590",17분전
전북 전주시, 롤링파스타 전주객사점,10:00~09:00,"월급2,300,000",20분전
전북 전주시, 롤링파스타 전주객사점,10:00~21:30,"월급2,300,000",20분전
광주 동구, 백철판0410 광주충장로점,시간협의,"시급8,600",20분전
경기 시흥시, 홍콩반점0410 시흥배곧신도시점,10:30~22:30,"월급2,500,000",24분전
경기 김포시, 더본코리아 홍콩반점0410 김포장기쌍,10:00~16:00,"시급9,000",30분전
대구 동구, 더본코리아 홍콩반점0410 대구신서혁,19:30~22:00,"시급8,600",31분전
경기 김포시, 더본코리아 홍콩반점0410 김포장기쌍,10:00~16:00,"시급9,000",31분전
경기 김포시, 더본코리아 홍콩반점0410 김포사우점,17:00~21:00,"시급8,600",32분전
충북 청주시, 홍콩반점0410 충북대중문점,10:30~21:30,"월급2,350,000",34분전
강원 원주시, 더본코리아 홍콩반점0410 원주단계점,22:00~10:00,"월급2,450,000",35분전
경남 진주시, 더본코리아 홍콩반점0410 진주중앙로,10:30~21:30,"시급8,600",35분전
경기 시흥시, 더본코리아 롤링파스타 시흥은계점,10:00~22:00,"월급2,600,000",35분전
강원 원주시, 더본코리아 홍콩반점0410 원주단계점,22:00~10:00,"월급2,450,000",35분전
강원 원주시, 더본코리아 홍콩반점0410 원주단계점,22:00~10:00,"월급2,450,000",35분전
경남 진주시, 더본코리아 홍콩반점0410 진주중앙로,10:30~21:30,"시급8,600",35분전
경남 진주시, 더본코리아 홍콩반점0410 진주중앙로,10:30~21:30,"시급8,600",36분전
경남 진주시, 더본코리아 홍콩반점0410 진주중앙로,10:30~21:30,"시급8,600",37분전
경남 진주시, 더본코리아 홍콩반점0410 진주중앙로,10:30~21:30,"시급8,600",37분전
서울 광진구, 더본코리아 리춘시장 건대지점,19:00~24:00,"시급8,700",38분전
광주 광산구, 더본코리아 새마을식당 광주수완점,17:00~03:00,"시급8,600",39분전
인천 부평구, 더본코리아 역전우동 부평로데오점,10:00~22:00,"월급2,600,000",39분전
경기 고양시, 더본코리아 홍콩반점0410 일산후곡점,10:00~22:00,"월급2,500,000",40분전
부산 해운대, 더본코리아 한신포차 해운대점,17:00~07:00,"월급2,200,000",42분전
부산 해운대, 더본코리아 한신포차 해운대점,17:00~07:00,"월급2,200,000",42분전
부산 해운대, 더본코리아 한신포차 해운대점,17:00~07:00,"월급2,200,000",42분전
부산 해운대, 더본코리아 한신포차 해운대점,17:00~07:00,"월급2,200,000",42분전
부산 해운대, 더본코리아 한신포차 해운대점,17:00~07:00,"월급2,200,000",42분전
서울 강서구, 역전우동0410 화곡역점,22:00~09:00,"월급2,400,000",42분전
서울 강서구, 역전우동0410 화곡역점,12:00~22:00,"월급2,100,000",42분전
부산 연제구, 더본코리아 홍콩반점0410 부산연산동,10:00~21:30,"시급8,590",43분전
경남 창원시, 홍콩반점0410 창원메트로시티점,10:30~15:30,"시급8,590",43분전
부산 해운대, 리춘시장 부산해운대점,19:00~02:00,"시급8,590",44분전
부산 연제구, 더본코리아 홍콩반점0410 부산연산동,10:00~21:30,"시급8,590",44분전
경남 창원시, 홍콩반점0410 창원메트로시티점,16:30~22:00,"시급8,590",45분전
