place,title,time,pay,date
경기 성남시, 버거킹 분당야탑점,21:00~01:00,"시급8,590",4분전
경기 성남시, 버거킹 분당야탑점,21:00~01:00,"시급8,590",4분전
경기 성남시, 버거킹 분당야탑점,18:00~01:00,"시급8,590",4분전
경기 성남시, 버거킹 분당야탑점,18:00~01:00,"시급8,590",4분전
경기 성남시, 버거킹 분당야탑점,18:00~01:00,"시급8,590",4분전
인천 남동구, 버거킹 인천구월아시아드SK점,20:00~01:30,"시급8,590",10분전
경기 오산시, 버거킹 오산세교에스오일점,00:00~24:00,"시급8,590",11분전
경기 수원시, 버거킹 서수원이마트,16:00~23:00,"시급8,590",12분전
충남 서산시, 버거킹 서산호수공원점(S),16:00~23:00,"시급8,590",13분전
충남 서산시, 버거킹 서산호수공원점(S),08:30~23:00,"시급8,590",14분전
충남 서산시, 버거킹 서산호수공원점(S),16:00~23:00,"시급8,590",14분전
경기 수원시, 버거킹 송죽SK점,17:00~01:00,"시급8,590",15분전
서울 강남구, 버거킹 대치점,01:00~00:00,"시급8,590",15분전
서울 강남구, 버거킹 대치점,01:00~00:00,"시급8,590",16분전
경기 수원시, 광교아브뉴프랑점,16:00~23:00,"시급8,590",16분전
경기 수원시, 버거킹 송죽SK점,17:00~01:00,"시급8,590",16분전
경기 수원시, 광교아브뉴프랑점,16:00~23:00,"시급8,590",17분전
전북 전주시, 버거킹 전북도청점,09:00~23:00,"시급8,590",24분전
경기 수원시, 버거킹 송죽SK점,17:00~01:00,"시급8,590",27분전
경기 화성시, 버거킹 동탄2신도시SK점,00:00~24:00,"시급8,590",27분전
울산 남구, 버거킹 울산신정FS점(S),10:00~16:00,"시급8,590",30분전
부산 금정구, 버거킹 부산금정오일뱅크점,시간협의,"시급8,590",34분전
경기 수원시, 버거킹 아주대병원점,시간협의,"시급8,590",34분전
경기 구리시, 버거킹 구리갈매점,10:00~17:00,"시급8,590",34분전
경기 구리시, 버거킹 구리갈매점,18:00~01:00,"시급8,590",35분전
경기 수원시, 버거킹 송죽SK점,17:00~01:00,"시급8,590",36분전
서울 종로구, 버거킹 종로구청점,17:00~24:00,"시급8,590",37분전
경남 사천시, 버거킹 경남사천점(S),16:30~23:00,"시급8,590",37분전
서울 용산구, 버거킹 서울역점,00:00~24:00,"시급8,590",37분전
충북 청주시, 버거킹 오창호수공원점,16:00~23:00,"시급8,590",37분전
서울 종로구, 버거킹 종로구청점,17:00~24:00,"시급8,590",37분전
서울 용산구, 버거킹 서울역점,00:00~24:00,"시급8,590",38분전
부산 금정구, 버거킹 부산금정오일뱅크점,시간협의,"시급8,590",42분전
부산 금정구, 버거킹 부산금정오일뱅크점,시간협의,"시급8,590",42분전
대전 유성구, 버거킹 대전세종SK점,08:00~24:00,"시급8,590",42분전
부산 금정구, 버거킹 부산금정오일뱅크점,08:00~14:30,"시급8,590",43분전
대전 유성구, 버거킹 대전세종SK점,08:00~24:00,"시급8,590",43분전
대전 유성구, 버거킹 대전세종SK점,08:00~24:00,"시급8,590",43분전
경남 사천시, 버거킹 경남사천점(S),09:00~15:00,"시급8,590",44분전
경기 용인시, 수지구청역점,09:00~16:00,"시급8,590",45분전
세종 전체, 버거킹 세종고운점,08:00~24:50,"시급8,590",46분전
경기 수원시, 광교아브뉴프랑점,16:00~23:00,"시급8,590",46분전
경기 성남시, 버거킹 분당차병원점,15:00~22:00,"시급8,590",47분전
서울 영등포, 영등포KT점,08:00~24:00,"시급8,590",51분전
경기 안양시, 버거킹 안양관양점,17:00~24:30,"시급8,590",54분전
대전 유성구, 버거킹 대전세종SK점,08:00~24:00,"시급8,590",55분전
대전 유성구, 버거킹 대전세종SK점,08:00~24:00,"시급8,590",55분전
대전 유성구, 버거킹 대전세종SK점,08:00~24:00,"시급8,590",55분전
대전 유성구, 버거킹 대전세종SK점,08:00~24:00,"시급8,590",56분전
경기 용인시, 수지구청역점,09:00~16:00,"시급8,590",56분전
