place,title,time,pay,date
서울 서초구, 사보텐 교대역점,시간협의,"시급10,308",13분전
서울 동대문, 사보텐 청량리역사점,10:00~17:00,"시급8,590",1시간전
서울 동대문, 사보텐 청량리역사점,13:00~21:00,"시급8,590",1시간전
서울 동대문, 사보텐 청량리역사점,11:00~17:00,"시급8,590",1시간전
서울 서초구, 사보텐 교대역점,시간협의,"시급10,308",1시간전
서울 용산구, 히바린 이태원점,17:00~22:00,"시급8,590",3시간전
서울 서대문, (주)캘리스코,09:00~15:00,"시급8,590",3시간전
서울 서초구, (주)캘리스코,10:00~15:00,"시급8,590",4시간전
서울 마포구, 사보텐 공덕역점,17:00~21:00,"시급8,590",4시간전
서울 강남구, 사보텐 & 타코벨 본사,시간협의,"시급8,590",5시간전
서울 서초구, 사보텐 신논현점,10:00~16:30,"시급8,590",7시간전
서울 서초구, (주)캘리스코 사보텐신논현점,10:30~16:00,"시급8,590",8시간전
서울 송파구, 사보텐 롯데월드점,12:00~17:00,"시급8,590",9시간전
서울 강남구, (주)캘리스코 사보텐 코엑스점,09:00~15:00,"시급8,590",10시간전
서울 강남구, 사보텐 코엑스점,09:00~15:00,"시급8,590",10시간전
서울 서초구, 사보텐 교대역점,시간협의,"시급10,308",17시간전
경기 여주시, (주)캘리스코 히바린 여주첼시점,16:00~21:00,"시급8,590",11/22
서울 강남구, (주)캘리스코 사보텐 코엑스점,09:00~15:00,"시급8,590",11/20
서울 서초구, 사보텐 교대역점,시간협의,"시급10,308",11/20
서울 용산구, 히바린 이태원점,17:00~22:00,"시급8,590",11/19
경남 창원시, 사보텐 창원시티세븐점,18:00~21:30,"시급8,590",11/18
서울 서초구, 사보텐 교대역점,시간협의,"시급10,308",11/18
서울 용산구, 히바린 이태원점,17:00~22:00,"시급8,590",11/18
경남 창원시, 사보텐 창원시티세븐점,12:00~16:00,"시급8,590",11/18
서울 서초구, (주)캘리스코,10:00~15:00,"시급8,590",11/18
충북 청주시, 주식회사 캘리스코 사보텐 청주 터미널,10:00~22:00,"연봉25,000,000",11/17
서울 서초구, 사보텐 교대역점,시간협의,"시급10,308",11/16
광주 서구, 사보텐 신세계광주점,12:00~20:00,"시급8,590",11/16
서울 용산구, 히바린 이태원점,17:00~22:00,"시급8,590",11/15
서울 마포구, (주)캘리스코 사보텐 공덕역점,17:00~21:00,"시급8,590",11/14
서울 강남구, (주)캘리스코 사보텐 코엑스점,11:30~16:00,"시급8,590",11/12
서울 용산구, 히바린 이태원점,17:00~22:00,"시급8,590",11/11
서울 강남구, (주)캘리스코 사보텐 코엑스점,11:30~16:00,"시급8,590",11/08
