place,title,time,pay,date
대구 중구, 슈펜 슈펜 동성로점,13:00~22:00,"월급1,900,000",1시간전
서울 동작구, 슈펜 슈펜 강남점,09:00~18:00,"월급1,900,000",4시간전
서울 강남구, 슈펜 슈펜 강남점,09:00~18:00,"월급1,900,000",4시간전
서울 관악구, 슈펜 슈펜 강남점,09:00~18:00,"월급1,900,000",4시간전
경기 고양시, 슈펜 일산점,09:00~18:00,"월급1,900,000",4시간전
경기 고양시, 슈펜 일산점,09:00~18:00,"월급1,900,000",4시간전
경기 고양시, 슈펜 일산점,09:00~18:00,"월급1,900,000",4시간전
서울 동대문, 슈펜 롯데 청량리점,09:00~18:00,"월급1,900,000",4시간전
서울 중랑구, 슈펜 롯데 청량리점,09:00~18:00,"월급1,900,000",4시간전
서울 광진구, 슈펜 롯데 청량리점,09:00~18:00,"월급1,900,000",4시간전
부산 부산진, 슈펜 슈펜 서면점,13:00~22:00,"월급1,900,000",6시간전
부산 부산진, 슈펜 슈펜 서면점,08:00~17:00,"월급1,900,000",6시간전
경기 안산시, 슈펜 고잔점,09:00~22:00,"월급1,900,000",11/08
