place,title,time,pay,date
충북 청주시, 청주오송,06:30~24:00,"시급8,800",2분전
충북 제천시, 스타벅스커피 코리아 스타벅스 제천DT,06:30~24:00,"시급8,800",9분전
전남 여수시, 스타벅스커피 코리아 여수둔덕DT,06:30~24:00,"시급8,800",14분전
제주 전체, 스타벅스커피 코리아 제주중문점,07:30~21:00,"시급8,800",15분전
세종 나성동, 스타벅스커피 코리아 세종첫마을점,06:30~23:00,"시급8,800",36분전
제주 전체, 스타벅스커피 코리아 제주신화월드,07:00~22:00,"시급8,800",37분전
경남 창원시, 스타벅스커피 코리아 창원용지호수점,06:30~24:00,"시급8,800",40분전
서울 강남구, 스타벅스커피 코리아 선릉로점,06:30~22:30,"시급8,800",44분전
경남 창원시, 스타벅스커피 코리아 창원시티세븐점,07:00~23:30,"시급8,800",46분전
전남 여수시, 스타벅스커피 코리아 스타벅스 여수해양,08:00~23:00,"시급8,800",54분전
전남 여수시, 스타벅스커피 코리아 여수여서점,08:00~23:00,"시급8,800",1시간전
경북 경주시, 스타벅스커피 코리아 경주중앙점,08:00~23:00,"시급8,800",1시간전
서울 강남구, 스타벅스커피 코리아 선릉로점,06:30~22:30,"시급8,800",1시간전
경기 이천시, 스타벅스커피 코리아 이천하이닉스점,06:00~23:00,"시급8,800",1시간전
세종 나성동, 스타벅스커피 코리아 세종첫마을점,06:30~23:00,"시급8,800",1시간전
세종 전체, 스타벅스커피 코리아 세종이마트점,10:00~23:00,"시급8,800",1시간전
세종 나성동, 스타벅스커피 코리아 세종첫마을점,06:30~23:00,"시급8,800",1시간전
전남 나주시, 스타벅스커피 코리아 나주혁신DT,07:00~23:00,"시급8,800",1시간전
경북 구미시, 구미상모DT,07:00~24:00,"시급8,800",1시간전
충북 청주시, 스타벅스커피 코리아 청주봉명DT점,06:30~24:00,"시급8,800",1시간전
경남 창원시, 스타벅스커피 코리아 스타벅스 마산역D,06:30~23:30,"시급8,800",1시간전
대구 중구, 스타벅스커피 코리아 동성로중앙점,09:00~23:00,"시급8,800",2시간전
서울 전체, 스타벅스커피 코리아 포이점,06:30~22:30,"시급8,800",2시간전
서울 전체, 스타벅스커피 코리아 포이점,06:30~22:30,"시급8,800",2시간전
광주 남구, 스타벅스커피 코리아 광주봉선로,07:30~24:00,"시급8,800",2시간전
경기 이천시, 스타벅스커피 코리아 이천하이닉스점,06:00~23:00,"시급8,800",2시간전
충남 계룡시, 스타벅스커피 코리아 계룡대로DT,06:00~23:00,"시급8,800",2시간전
충북 전체, 스타벅스커피 코리아 오창호수공원,07:30~23:00,"시급8,800",2시간전
서울 서대문, 스타벅스커피 코리아 충정로역점,06:30~22:30,"시급8,800",2시간전
경북 구미시, 구미상모DT,07:00~24:00,"시급8,800",2시간전
제주 전체, 스타벅스커피 코리아 제주송악산점,08:30~18:00,"시급8,800",2시간전
서울 서대문, 스타벅스커피 코리아 가재울뉴타운점,06:30~23:00,"시급8,800",2시간전
세종 어진동, 스타벅스커피 코리아 세종어진,06:00~24:00,"시급8,800",2시간전
세종 다정동, 세종다정DT,06:00~23:00,"시급8,800",3시간전
경북 경주시, 스타벅스커피 코리아 경주터미널DT점,06:00~24:00,"시급8,800",3시간전
경기 여주시, 스타벅스커피 코리아 여주P.아울렛,09:00~22:00,"시급8,800",3시간전
경기 여주시, 스타벅스커피 코리아 여주P.아울렛,09:00~22:00,"시급8,800",3시간전
경기 화성시, 스타벅스커피 코리아 화성병점DT점,06:00~23:00,"시급8,800",3시간전
경기 이천시, 스타벅스커피 코리아 이천증포DT,06:30~24:00,"시급8,800",3시간전
경기 이천시, 스타벅스커피 코리아 이천증포DT,06:30~24:00,"시급8,800",3시간전
충남 천안시, 스타벅스커피 코리아 천안두정점,07:00~23:00,"시급8,800",3시간전
충북 청주시, 스타벅스커피 코리아 청주율량DT점,06:30~24:00,"시급8,800",4시간전
인천 강화군, 스타벅스커피 코리아 인천강화DT,00:00~24:00,"시급8,800",4시간전
전남 여수시, 스타벅스커피 코리아 여수여천점,07:00~22:00,"시급8,800",4시간전
광주 남구, 스타벅스커피 코리아 광주봉선점,06:30~24:00,"시급8,800",4시간전
전남 나주시, 스타벅스커피 코리아 나주혁신DT,07:00~23:00,"시급8,800",4시간전
경기 용인시, 스타벅스커피 코리아 용인동백DT점,05:30~24:00,"시급8,800",4시간전
경남 양산시, 스타벅스커피 코리아 양산터미널점,07:30~23:30,"시급8,800",4시간전
전남 여수시, 스타벅스커피 코리아 여수학동DT,06:30~24:00,"시급8,800",4시간전
경북 김천시, 스타벅스커피 코리아 김천시청DT점,06:30~24:00,"시급8,800",4시간전
