place,title,time,pay,date
서울 은평구, 신세계푸드 데블스다이너 고양점,13:00~22:00,"월급1,832,930",3분전
경기 용인시, 노브랜드버거 용인성복점,11:00~20:00,"시급8,770",23분전
서울 광진구, (주)신세계푸드 노브랜드버거 역삼역점,11:00~20:00,"시급8,770",32분전
서울 동작구, (주)신세계푸드 노브랜드버거 역삼역점,11:00~20:00,"시급8,770",33분전
서울 관악구, (주)신세계푸드 노브랜드버거 역삼역점,11:00~20:00,"시급8,770",34분전
서울 강남구, (주)신세계푸드 노브랜드버거 역삼역점,11:00~20:00,"시급8,770",34분전
서울 영등포, 올반 영등포점,13:00~22:00,"시급8,770",35분전
서울 전체, (주)신세계푸드 노브랜드버거 역삼역점,11:00~20:00,"시급8,770",35분전
서울 중구, 베키아에누보 신세계백화점 본점B1,07:00~16:00,"월급1,832,930",43분전
서울 강남구, 노브랜드버거 대치대원빌딩점,13:30~22:30,"시급8,770",58분전
서울 전체, 노브랜드버거 코엑스점,11:00~17:30,"시급8,770",1시간전
경기 용인시, 자니로켓 경기점,16:00~20:30,"시급8,770",2시간전
경기 고양시, 신세계푸드 데블스다이너 고양점,13:00~22:00,"월급1,832,930",2시간전
경기 고양시, (주) 신세계푸드 노브랜드버거 화정점,12:00~16:00,"시급8,770",2시간전
경기 수원시, 보노보노 죽전점,13:00~22:00,"월급1,832,930",2시간전
경기 용인시, 자니로켓 경기점,16:00~20:30,"시급8,770",2시간전
부산 해운대, 베키아에누보 센텀시티점,12:30~20:30,"시급8,590",2시간전
경기 김포시, 보노보노M 김포한강점,13:00~22:00,"월급1,832,930",2시간전
경기 고양시, 신세계푸드 데블스다이너 고양점,13:00~22:00,"월급1,832,930",14시간전
경기 고양시, 신세계푸드 데블스다이너 고양점,13:00~22:00,"월급1,832,930",14시간전
서울 은평구, 신세계푸드 데블스다이너 고양점,13:00~22:00,"월급1,832,930",14시간전
경기 부천시, (주)신세계푸드노브랜드버거부천역북부점,14:00~23:00,"시급8,770",11/22
서울 서초구, 올반 센트럴점,11:00~20:00,"월급1,832,930",11/21
서울 강남구, 노브랜드버거 대치점,11:00~20:00,"시급8,770",11/20
서울 강남구, 노브랜드버거 대치점,11:00~20:00,"시급8,770",11/19
서울 전체, 노브랜드버거 신금호역점,시간협의,"시급8,770",11/19
서울 강남구, 노브랜드버거 대치점,11:00~20:00,"시급8,770",11/18
경기 광주시, 보노보노 죽전점,13:00~22:00,"월급1,832,930",11/17
서울 전체, 노브랜드버거 학동역점,19:00~23:00,"시급8,770",11/15
서울 강남구, 노브랜드버거 대치점,11:00~20:00,"시급8,770",11/15
서울 서초구, 노브랜드버거 남부터미널점,16:00~22:30,"월급464,810",11/14
서울 양천구, 노브랜드버거 신정네거리점,11:00~20:00,"시급8,770",11/13
서울 영등포, 올반 영등포점,13:00~22:00,"시급8,770",11/12
서울 강남구, 보노보노 플러스 삼성점,13:00~22:00,"시급8,770",11/12
서울 관악구, 노브랜드버거 양재역점,10:00~22:30,"시급8,770",11/11
서울 전체, 보노보노 플러스 삼성점,12:00~21:00,"월급1,939,715",11/11
서울 강남구, 보노보노 플러스 삼성점,11:20~15:20,"시급8,770",11/11
서울 강남구, 보노보노 플러스 삼성점,14:00~23:00,"시급8,770",11/11
서울 강남구, 보노보노 플러스 삼성점,13:00~22:00,"월급1,832,930",11/11
서울 강남구, 노브랜드버거 대치대원빌딩점,13:30~22:30,"시급8,770",11/11
