place,title,time,pay,date
충북 청주시, 아소비 청주지사,13:00~18:00,"월급2,000,000",18분전
충북 청주시, 아소비 청주지사,13:00~18:00,"월급2,000,000",19분전
충북 청주시, 아소비 청주지사,13:00~18:00,"월급2,000,000",20분전
충북 청주시, 아소비 청주지사,13:00~18:00,"월급2,000,000",21분전
충북 청주시, 아소비 청주지사,13:00~18:00,"월급2,000,000",21분전
경기 광명시, 아소비 광명지사,14:00~18:00,"월급1,800,000",41분전
경기 광명시, 아소비 광명지사,14:00~18:00,"월급1,800,000",43분전
경기 광명시, 아소비 광명지사,14:00~19:00,"월급1,800,000",46분전
경기 광명시, 아소비 광명지사,14:00~19:00,"월급1,800,000",47분전
전남 순천시, 아소비 아소비교육 본사,09:00~18:00,"월급2,000,000",51분전
경기 광명시, 아소비 광명지사,14:00~18:00,"월급1,800,000",51분전
전남 목포시, 아소비 아소비교육 본사,09:00~18:00,"월급2,000,000",51분전
광주 서구, 아소비 아소비교육 본사,09:00~18:00,"월급2,000,000",53분전
경기 고양시, 아소비 고양파주지사,13:00~18:00,"월급1,900,000",59분전
서울 구로구, 아소비 구로강서양천지사,14:00~18:00,"월급1,800,000",59분전
서울 구로구, 아소비 구로강서양천지사,14:00~18:00,"월급1,800,000",1시간전
경기 고양시, 아소비 고양파주지사,13:00~18:00,"월급1,900,000",1시간전
경남 김해시, 아소비 김해양산지사,13:00~19:00,"월급1,700,000",1시간전
경남 김해시, 아소비 김해양산지사,13:00~19:00,"월급1,700,000",1시간전
경남 양산시, 아소비 김해양산지사,13:00~19:00,"월급1,700,000",1시간전
경남 양산시, 아소비 김해양산지사,13:00~19:00,"월급1,700,000",1시간전
서울 중랑구, 아소비 동북지사(노원/중랑),14:00~18:00,"월급1,800,000",1시간전
서울 강서구, 아소비 구로강서양천지사,16:00~19:00,"월급1,800,000",1시간전
경기 고양시, 아소비 고양파주지사,13:00~18:00,"월급1,900,000",1시간전
서울 중랑구, 아소비 동북지사(노원/중랑),14:00~18:00,"월급1,800,000",1시간전
서울 노원구, 아소비 동북지사(노원/중랑),14:00~18:00,"월급1,800,000",1시간전
서울 노원구, 아소비 동북지사(노원/중랑),14:00~18:00,"월급1,800,000",1시간전
서울 노원구, 아소비 동북지사(노원/중랑),14:00~18:00,"월급1,800,000",1시간전
경기 남양주, 아소비 동북지사(남양주/구리),14:00~18:00,"월급1,800,000",1시간전
경기 남양주, 아소비 동북지사(남양주/구리),14:00~18:00,"월급1,800,000",1시간전
경기 남양주, 아소비 동북지사(남양주/구리),14:00~18:00,"월급1,800,000",1시간전
경기 남양주, 아소비 동북지사(남양주/구리),14:00~18:00,"월급1,800,000",1시간전
경기 남양주, 아소비 동북지사(남양주/구리),14:00~18:00,"월급1,800,000",1시간전
서울 구로구, 아소비 구로강서양천지사,14:00~18:00,"월급1,800,000",1시간전
서울 구로구, 아소비 구로강서양천지사,14:00~18:00,"월급1,800,000",1시간전
부산 금정구, 아소비 부산북부지사,14:00~18:00,"월급1,800,000",1시간전
부산 동래구, 아소비 부산북부지사,14:00~18:00,"월급1,800,000",1시간전
경기 고양시, 아소비 고양파주지사,13:00~18:00,"월급1,900,000",1시간전
부산 북구, 아소비 부산북부지사,14:00~18:00,"월급1,800,000",1시간전
부산 동래구, 아소비 부산북부지사,14:00~18:00,"월급1,800,000",1시간전
부산 북구, 아소비 부산북부지사,14:00~18:00,"월급1,800,000",1시간전
경기 고양시, 아소비 고양파주지사,13:00~18:00,"월급1,900,000",1시간전
경기 부천시, 아소비 부천시흥지사,14:00~18:00,"월급2,000,000",2시간전
경기 시흥시, 아소비 부천시흥지사,14:00~18:00,"월급2,000,000",2시간전
경기 부천시, 아소비 부천시흥지사,14:00~18:00,"월급2,000,000",2시간전
경기 시흥시, 아소비 부천시흥지사,14:00~18:00,"월급2,000,000",2시간전
경기 시흥시, 아소비 부천시흥지사,14:00~18:00,"월급2,000,000",2시간전
서울 강북구, 아소비 강북도봉지사,14:00~18:00,"월급2,000,000",2시간전
경기 여주시, 아소비 여주지사,13:30~18:30,"월급2,000,000",2시간전
경기 여주시, 아소비 여주지사,13:30~18:30,"월급2,000,000",2시간전
