place,title,time,pay,date
서울 강남구, 아티제 타워팰리스점,06:30~15:30,"월급1,993,739",50분전
서울 강남구, 아티제 타워팰리스점,06:30~15:30,"월급1,993,739",2시간전
서울 성북구, 아티제 미아현대점,13:10~20:10,"시급8,590",12시간전
서울 강남구, 아티제,06:00~22:00,"월급1,993,739",13시간전
서울 용산구, 아티제 동부이촌점,시간협의,"시급8,590",14시간전
서울 중구, (주)보나비,06:30~15:30,"월급1,993,739",14시간전
서울 중구, (주)보나비,13:00~20:00,"시급8,590",11/21
서울 영등포, 아티제 여의도점,06:30~23:30,"월급1,993,739",11/20
대구 북구, (주)보나비,07:30~13:00,"시급8,590",11/19
경기 성남시, (주)보나비,17:30~22:00,"시급8,590",11/13
서울 강남구, 아티제 대치은마점,09:00~14:00,"시급8,590",11/07
서울 중구, (주)보나비 아티제,07:00~16:00,"월급1,993,739",11/07
서울 서초구, 아티제 잠원2점,10:00~18:00,"시급8,590",11/07
