place,title,time,pay,date
경기 부천시, 제일패션리테일(주),13:00~22:00,"연봉24,770,000",42분전
서울 금천구, 제일패션리테일(주),13:00~22:00,"연봉24,770,000",43분전
경기 부천시, 에잇세컨즈 현대중동점,13:00~22:00,"시급10,310",4시간전
대전 유성구, 에잇세컨즈,16:00~21:00,"시급10,310",5시간전
인천 계양구, 제일패션리테일(주),13:30~22:30,"시급10,310",5시간전
경기 하남시, 제일패션리테일(주),13:00~22:00,"시급10,310",5시간전
서울 영등포, 제일패션리테일(주),13:10~22:30,"시급10,310",6시간전
서울 금천구, 제일패션리테일(주),13:00~22:00,"시급10,310",7시간전
경기 성남시, 제일패션리테일(주),12:00~21:00,"시급10,310",8시간전
경기 수원시, 제일패션리테일(주),13:00~22:00,"연봉24,770,000",9시간전
서울 영등포, 제일패션리테일(주),13:00~22:00,"연봉24,770,000",9시간전
서울 중구, 제일패션리테일(주),13:00~22:00,"연봉24,770,000",9시간전
서울 금천구, 제일패션리테일(주),13:00~22:00,"연봉24,770,000",9시간전
서울 송파구, 제일패션리테일(주),13:00~22:00,"연봉24,770,000",9시간전
경기 화성시, 제일패션리테일(주),13:00~22:00,"연봉24,770,000",9시간전
부산 전체, 제일패션리테일(주),12:30~21:30,"시급8,590",14시간전
서울 강남구, 제일패션리테일(주),시간협의,"시급10,310",11/22
