place,title,time,pay,date
충남 천안시, 엔제리너스 천안직산점,19:00~24:00,"시급8,590",6시간전
경기 수원시, 엔제리너스 동수원신협점,08:30~05:30,"월급1,900,000",7시간전
경기 수원시, 엔제리너스 동수원신협점,08:30~05:30,"월급1,900,000",7시간전
서울 관악구, 엔제리너스 구로디지털역점,23:30~06:30,"시급8,590",7시간전
경기 수원시, 엔제리너스 동수원신협점,08:30~05:30,"월급1,900,000",8시간전
경기 수원시, 엔제리너스 동수원신협점,08:30~05:30,"월급1,900,000",8시간전
경남 김해시, 엔제리너스 김해봉황D/I점,00:00~24:00,"시급8,590",8시간전
서울 송파구, 엔제리너스 잠실롯데월드몰B1점,16:00~23:00,"시급8,590",11시간전
울산 북구, 엔제리너스 울산명촌점,19:00~23:30,"시급8,590",11시간전
부산 기장군, 엔제리너스 롯데아울렛동부산1층점,13:00~22:00,"시급8,590",11시간전
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,590",12시간전
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,590",12시간전
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,590",12시간전
충남 천안시, 엔제리너스 천안직산점,19:00~24:00,"시급8,590",13시간전
경기 수원시, 엔제리너스 동수원신협점,08:30~05:30,"월급1,900,000",13시간전
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,590",11/22
강원 원주시, 엔제리너스 원주터미널점,18:00~22:00,"시급8,590",11/21
서울 강동구, 엔제리너스 강동경희대병원점,07:00~19:00,"시급8,590",11/20
대구 전체, 엔제리너스 대구칠성시장역점,08:00~24:00,"월급1,860,000",11/19
서울 송파구, 엔제리너스 잠실롯데월드몰F1점,12:00~19:00,"시급8,590",11/18
서울 송파구, 엔제리너스 잠실롯데월드몰F1점,12:00~19:00,"시급8,590",11/15
부산 강서구, 엔제리너스 김해공항점,06:00~22:00,"시급8,650",11/14
대구 북구, 엔제리너스 칠곡구암역점,17:00~01:00,"시급8,590",11/07
대구 북구, 엔제리너스 칠곡구암역점,22:30~02:30,"시급8,590",11/07
