place,title,time,pay,date
인천 중구, 폴바셋 파라다이스점,09:00~14:30,"시급8,800",11분전
서울 서초구, 폴바셋 강남GT타워점,06:00~23:00,"시급8,800",58분전
경기 여주시, 폴바셋 신세계여주아울렛점,08:00~22:00,"시급8,800",2시간전
서울 중구, 폴바셋 서대문역점,06:30~23:00,"시급8,800",2시간전
경기 평택시, 폴바셋 스타필드안성점,08:00~23:00,"시급8,800",2시간전
서울 서초구, 폴바셋 뉴코아강남점,07:00~23:00,"시급8,800",2시간전
경기 구리시, 폴바셋 현대아울렛남양주점,09:00~23:00,"시급8,800",3시간전
경기 남양주, 폴바셋 현대아울렛남양주점,09:00~23:00,"시급8,800",3시간전
경기 구리시, 폴바셋 현대아울렛남양주점,09:00~23:00,"시급8,800",3시간전
경기 남양주, 폴바셋 현대아울렛남양주점,09:00~23:00,"시급8,800",3시간전
서울 전체, 폴바셋 코리아나호텔점,06:30~22:00,"시급8,800",3시간전
서울 영등포, 폴바셋 롯데마트 양평점,09:00~23:00,"시급8,800",4시간전
서울 중구, 폴바셋 을지로파인에비뉴,06:00~24:00,"시급8,800",4시간전
서울 전체, 폴바셋 롯데본점,09:00~22:00,"시급8,800",4시간전
경기 성남시, 폴바셋 스타필드시티위례점,09:00~23:00,"시급8,800",4시간전
서울 송파구, 폴바셋 스타필드시티위례점,09:00~23:00,"시급8,800",4시간전
서울 서초구, 폴바셋 강남GT타워점,07:00~23:00,"시급8,800",7시간전
경기 여주시, 폴바셋 신세계여주아울렛점,08:00~22:00,"시급8,800",15시간전
서울 중랑구, 폴바셋 NC타워삼성점,06:30~23:00,"시급8,800",15시간전
서울 관악구, 폴바셋 NC타워삼성점,06:30~23:00,"시급8,800",15시간전
서울 강남구, 폴바셋 NC타워삼성점,06:30~23:00,"시급8,800",15시간전
서울 전체, 폴바셋 롯데본점,09:00~22:00,"시급8,800",16시간전
서울 강동구, 폴바셋 올림픽공원북2문점,07:00~22:00,"시급8,800",18시간전
서울 서초구, 폴바셋 롯데마트서초점,08:00~23:00,"시급8,800",11/22
서울 전체, 폴바셋 롯데본점,09:00~22:00,"시급8,800",11/22
부산 해운대, 살바토레쿠오모 센텀시티점,11:00~20:00,"시급10,308",11/22
서울 관악구, 폴바셋 NC타워삼성점,06:30~23:00,"시급8,800",11/22
서울 강남구, 폴바셋 NC타워삼성점,06:30~23:00,"시급8,800",11/22
전북 전주시, 폴바셋 전주금암DT점,06:30~23:00,"시급8,800",11/22
서울 송파구, 폴바셋 스타필드시티위례점,09:00~23:00,"시급8,800",11/22
서울 광진구, 폴바셋 더클래식500(건대)점,06:30~22:30,"시급8,800",11/22
전북 전주시, 폴바셋 전주혁신도시점,07:00~23:00,"시급8,800",11/22
경기 안성시, 폴바셋 스타필드안성점,08:00~23:00,"시급8,800",11/21
서울 전체, 폴바셋 신세계강남점,09:00~22:00,"시급8,800",11/21
서울 송파구, 폴바셋 스타필드시티위례점,09:00~22:30,"시급8,800",11/21
경기 평택시, 폴바셋 스타필드안성점,08:00~23:00,"시급10,560",11/20
서울 송파구, 폴바셋 스타필드시티위례점,09:00~22:30,"시급8,800",11/20
서울 전체, 폴바셋 파미에스테이션점,07:00~23:00,"시급8,800",11/20
충북 청주시, 폴바셋 현대백화점충청점,07:00~23:00,"시급8,600",11/18
서울 서초구, 폴바셋 뉴코아강남점,07:00~23:00,"시급8,800",11/18
전북 전주시, 폴바셋 전주혁신도시점,07:00~23:00,"시급8,800",11/17
서울 강서구, 폴바셋 현대아울렛김포점,13:00~18:00,"시급8,590",11/16
경기 김포시, 폴바셋 현대아울렛김포점,08:00~22:00,"시급8,800",11/16
서울 서초구, 폴바셋 강남GT타워점,07:00~23:00,"시급8,800",11/15
서울 전체, 폴바셋 방배역점,07:00~23:00,"시급8,800",11/15
서울 전체, 폴바셋 방배역점,07:00~23:00,"시급8,800",11/12
서울 서초구, 폴바셋 뉴코아강남점,07:00~23:00,"시급8,800",11/10
서울 서초구, 폴바셋 뉴코아강남점,07:00~23:00,"시급8,800",11/07
