place,title,time,pay,date
경기 평택시, 역전할머니맥주  평택 고덕점,04:00~03:00,"월급2,500,000",56분전
경기 평택시, 역전할머니맥주  평택 고덕점,22:00~02:00,"시급9,000",56분전
인천 부평구, 역전할머니맥주  인천 동암점,16:00~04:00,"월급2,600,000",1시간전
경남 창원시, 역전할머니맥주  창원 상남점,19:00~05:00,"시급9,000",1시간전
울산 동구, 역전할머니맥주  울산 전하점,18:00~03:00,"시급8,800",3시간전
부산 부산진, 역전할머니맥주  부산 서면일번가점,19:00~24:00,"시급10,000",3시간전
경남 김해시, 역전할머니맥주  김해 진영점,시간협의,"시급8,700",3시간전
경남 창원시, 역전할머니맥주  창원 상남점,17:00~24:00,"시급8,600",4시간전
부산 금정구, 역전할머니맥주  부산 부산대점,22:00~05:00,"시급8,590",4시간전
부산 금정구, 역전할머니맥주  부산 부산대점,22:00~05:00,"시급8,590",4시간전
부산 금정구, 역전할머니맥주  부산 부산대점,22:00~05:00,"시급8,590",5시간전
인천 남동구, 역전할머니맥주  인천 구월아시아드점,20:00~04:00,"시급8,600",6시간전
울산 전체, 역전할머니맥주  울산 병영점,18:00~05:00,"월급2,500,000",7시간전
서울 강북구, 역전할머니맥주  서울 미아사거리점,17:00~05:00,"월급2,700,000",7시간전
경기 고양시, 역전할머니맥주 고양 원당점,20:00~03:00,"시급9,000",7시간전
경기 고양시, 역전할머니맥주 고양 원당점,20:00~03:00,"시급9,000",7시간전
경북 구미시, 역전할머니맥주  구미 송정점,18:00~03:00,"시급8,700",7시간전
부산 부산진, 역전할머니맥주  부산 서면점,17:00~04:00,"월급2,700,000",7시간전
울산 전체, 역전할머니맥주  울산 병영점,18:00~05:00,"월급2,500,000",8시간전
경기 성남시, 역전할머니맥주  분당 야탑점,시간협의,"시급10,000",8시간전
경북 상주시, 역전할머니맥주  상주 무양점,20:00~03:00,"시급8,600",8시간전
충남 보령시, 역전할머니맥주  보령 동대점,20:00~03:00,"시급9,500",9시간전
서울 금천구, 역전할머니맥주  서울 가산점,시간협의,"시급8,600",13시간전
서울 금천구, 역전할머니맥주  서울 가산점,19:00~24:00,"시급9,000",13시간전
울산 북구, 역전할머니맥주  울산 화봉점,시간협의,"시급9,000",20시간전
울산 북구, 역전할머니맥주  울산 매곡점,17:00~03:00,"월급1,900,000",11/23
울산 북구, 역전할머니맥주  울산 매곡점,17:00~03:00,"월급1,900,000",11/23
광주 남구, 역전할머니맥주 광주 봉선점,19:00~03:00,"시급9,000",11/22
서울 동작구, 역전할머니맥주  서울 노량진점,18:00~02:00,"시급9,000",11/22
경기 수원시, 역전할머니맥주  수원 탑동점,21:00~24:00,"시급9,000",11/22
경기 고양시, 역전할머니맥주  일산 탄현점,19:00~05:00,"월급2,200,000",11/22
대구 달서구, 역전할머니맥주  대구 대천점,17:00~04:00,"시급9,000",11/22
울산 전체, 역전할머니맥주  울산 병영점,18:00~05:00,"월급2,500,000",11/22
대구 달서구, 역전할머니맥주  대구 대곡점,17:00~03:00,"월급2,000,000",11/22
경기 고양시, 역전할머니맥주  일산 백석점,시간협의,"시급8,590",11/22
경기 평택시, 역전할머니맥주  평택 평택역점,20:00~12:00,"시급9,500",11/22
강원 춘천시, 역전할머니맥주  춘천 강원대점,시간협의,"시급8,800",11/21
대구 달서구, 역전할머니맥주  대구 대천점,17:00~04:00,"시급9,000",11/21
대구 달서구, 역전할머니맥주  대구 대천점,17:00~04:00,"시급9,000",11/21
대구 달서구, 역전할머니맥주  대구 대천점,17:00~04:00,"시급9,000",11/21
경기 고양시, 역전할머니맥주  일산 탄현점,19:00~05:00,"월급2,200,000",2시간전
