place,title,time,pay,date
서울 영등포, 유니클로 롯데백화점 영등포점,09:30~18:00,"시급10,644",10시간전
서울 은평구, 유니클로 은평점,08:00~23:00,"월급1,850,000",12시간전
서울 서초구, 유니클로 이마트 양재점,08:00~23:00,"월급1,850,000",16시간전
서울 전체, 유니클로 이마트 양재점,08:00~23:00,"시급10,644",16시간전
광주 서구, 유니클로 롯데아울렛 광주 월드컵점,08:00~23:00,"월급1,850,000",16시간전
서울 용산구, 유니클로 용산 아이파크몰점,08:00~23:00,"월급1,850,000",16시간전
경기 고양시, 유니클로 일산 덕이점,08:00~23:00,"월급1,850,000",16시간전
서울 마포구, 유니클로 합정 메세나폴리스점,08:00~23:00,"월급1,850,000",16시간전
경기 고양시, 유니클로 신세계 스타필드 고양점,09:00~22:00,"월급1,850,000",16시간전
경기 안성시, 유니클로 스타필드 안성점,09:00~22:00,"월급1,850,000",17시간전
인천 연수구, 유니클로 현대백화점 송도점,09:00~22:00,"월급1,850,000",17시간전
서울 서대문, 유니클로 현대백화점 신촌 U-PLEX,09:30~19:00,"시급8,870",11/22
서울 관악구, 유니클로 신림 포도몰점,07:00~23:00,"시급10,644",11/18
대전 서구, 유니클로 세이 탄방점,09:00~22:00,"시급10,644",11/18
대전 서구, 유니클로 롯데백화점 대전점,시간협의,"시급10,644",11/16
서울 광진구, 유니클로 롯데백화점 스타시티점,08:30~22:30,"시급8,870",11/10
강원 원주시, 유니클로 원주점,09:00~18:00,"시급10,644",11/09
전남 광양시, 유니클로 LF 스퀘어 광양점,09:00~22:00,"시급8,870",11/09
경기 성남시, 유니클로 이마트 성남점,07:30~23:00,"시급10,644",11/09
경기 성남시, 유니클로 현대백화점 판교점,20:00~24:00,"시급13,200",11/08
서울 종로구, 유니클로 광화문 D-Tower점,08:00~22:00,"시급10,644",11/07
경기 성남시, 유니클로 현대백화점 판교점,08:00~23:00,"시급13,200",11/07
서울 종로구, 유니클로 광화문 D-Tower점,08:00~22:00,"시급10,644",11/06
전남 여수시, 유니클로 여수 둔덕점,09:00~23:00,"시급10,644",11/05
서울 전체, 유니클로 롯데백화점 미아점,08:30~17:00,"시급10,644",11/05
