place,title,time,pay,date
부산 부산진, (주)이랜드이츠 외식 엔씨 서면점,17:30~22:00,"시급8,590",58분전
부산 부산진, (주)이랜드파크외식 엔씨서면점,16:30~22:00,"시급8,590",1시간전
부산 부산진, (주)이랜드이츠 엔씨서면점,00:00~24:00,"시급8,590",4시간전
부산 부산진, (주)이랜드파크외식 엔씨서면점,16:30~22:00,"시급8,590",4시간전
세종 전체, 애슐리W 홈플러스 세종점,11:00~22:00,"시급8,590",6시간전
부산 부산진, (주)이랜드이츠 엔씨서면점,시간협의,"시급8,590",7시간전
세종 전체, 애슐리W 홈플러스 세종점,11:00~22:00,"시급8,590",12시간전
부산 부산진, (주)이랜드파크외식 엔씨서면점,16:30~22:00,"시급8,590",14시간전
부산 부산진, 이랜드 외식사업부,17:00~22:00,"시급8,590",11/22
부산 부산진, (주)이랜드이츠 엔씨서면점,12:30~18:00,"시급8,590",11/20
부산 부산진, (주)이랜드이츠 외식 엔씨 서면점,17:30~22:00,"시급8,590",11/20
부산 부산진, (주)이랜드이츠 외식 엔씨 서면점,17:30~22:00,"시급8,590",11/19
부산 부산진, (주)이랜드파크외식 엔씨서면점,16:30~22:00,"시급8,590",11/18
경기 수원시, 자연별곡 수원망포점,09:00~22:00,"시급8,590",11/14
부산 부산진, (주)이랜드이츠 외식 엔씨 서면점,17:30~22:00,"시급8,590",11/12
부산 부산진, (주)이랜드이츠 외식 엔씨 서면점,17:30~22:00,"시급8,590",11/09
경기 수원시, 자연별곡 수원망포점,24:00~00:00,"시급8,590",11/08
