place,title,time,pay,date
충북 충주시, 일미리금계찜닭 연수점,17:00~21:00,"시급8,600",2시간전
충북 충주시, 일미리금계찜닭 연수점,17:00~21:00,"시급8,600",2시간전
충북 충주시, 일미리금계찜닭 연수점,17:00~21:00,"시급8,600",2시간전
충북 충주시, 일미리금계찜닭 연수점,17:00~21:00,"시급8,600",2시간전
서울 영등포, 일미리금계찜닭 당산역SKV1센터점,18:00~22:00,"시급9,000",3시간전
서울 영등포, 일미리금계찜닭 당산역SKV1센터점,18:00~22:00,"시급9,000",3시간전
서울 영등포, 일미리금계찜닭 당산역SKV1센터점,18:00~22:00,"시급9,000",3시간전
서울 영등포, 일미리금계찜닭 당산역SKV1센터점,18:00~22:00,"시급9,000",3시간전
서울 강남구, 일미리금계찜닭 서울선릉점,10:00~21:30,"월급2,100,000",3시간전
서울 강남구, 일미리금계찜닭 서울선릉점,10:00~21:30,"월급2,100,000",3시간전
서울 강남구, 일미리금계찜닭 서울선릉점,10:00~21:30,"월급2,100,000",3시간전
서울 강남구, 일미리금계찜닭 서울선릉점,10:00~21:30,"월급2,100,000",17시간전
