place,title,time,pay,date
서울 서초구, 장원교육 서울서초,10:00~21:00,"연봉19,000,000",52분전
대구 전체, 장원교육 대구동서변,14:30~22:00,"월급1,500,000",1시간전
대구 북구, 장원교육 대구동서변,14:00~20:00,"월급1,500,000",1시간전
경북 김천시, 장원교육 김천,09:30~18:30,"월급2,000,000",1시간전
경북 상주시, 장원교육 구미북,14:00~21:00,"월급1,800,000",1시간전
충북 청주시, 장원교육 청원,14:00~21:00,"월급1,800,000",1시간전
충남 아산시, 장원교육 신아산,10:00~20:00,"월급2,000,000",1시간전
광주 광산구, 장원교육 광주치평,15:00~21:30,"월급2,000,000",1시간전
경기 의왕시, 장원교육 의왕,12:00~20:00,"월급1,800,000",1시간전
경기 안양시, 장원교육 의왕,12:00~21:00,"월급1,800,000",1시간전
경기 안양시, 장원교육 안양동안,13:00~21:00,"월급1,800,000",1시간전
경기 용인시, 장원교육 용인기흥,09:30~18:30,"월급2,000,000",1시간전
경기 안성시, 장원교육 안성,15:00~21:00,"월급2,000,000",1시간전
경기 안성시, 장원교육 안성,15:00~21:00,"월급2,000,000",1시간전
경기 안성시, 장원교육 안성,15:00~21:00,"월급2,000,000",1시간전
경기 군포시, 장원교육 군포과천,14:00~21:00,"월급2,000,000",1시간전
서울 금천구, 장원교육 금천,10:00~20:00,"월급2,000,000",1시간전
경기 김포시, 장원교육 김포,10:00~20:00,"월급2,000,000",1시간전
충북 음성군, 장원교육 음성진천,10:00~19:00,"월급1,800,000",2시간전
강원 춘천시, 장원교육 춘천서,10:00~18:00,"월급2,000,000",2시간전
강원 춘천시, 장원교육 춘천서,10:00~18:00,"월급2,000,000",2시간전
강원 춘천시, 장원교육 춘천서,10:00~18:00,"월급2,000,000",2시간전
강원 춘천시, 장원교육 춘천서,10:00~18:00,"월급2,000,000",2시간전
충남 천안시, 장원교육 천안,09:30~18:30,"연봉15,000,000",2시간전
대전 서구, 장원교육 남대전,10:00~22:00,"월급1,800,000",2시간전
대전 대덕구, 장원교육 동대전,10:00~10:00,"월급1,800,000",2시간전
경기 화성시, 장원교육 2동탄,10:00~10:00,"월급1,800,000",2시간전
경기 수원시, 장원교육 수원영통,10:00~21:00,"월급1,800,000",2시간전
인천 전체, 장원교육 인천서구,14:00~21:00,"월급1,500,000",3시간전
인천 전체, 장원교육 인천서구,14:00~21:00,"월급1,500,000",3시간전
경기 고양시, 장원교육 일산동부,10:00~18:00,"월급1,500,000",3시간전
서울 강서구, 장원교육 서울강서,10:00~22:00,"월급1,600,000",3시간전
서울 마포구, 장원교육 서울마포,10:00~20:00,"월급1,800,000",3시간전
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",3시간전
경기 안산시, 장원교육 안산상록,10:00~21:00,"시급8,590",4시간전
서울 구로구, 장원교육 서울영등포,10:00~20:00,"월급1,800,000",4시간전
경기 성남시, 장원교육 분당남부,11:00~21:00,"월급1,500,000",4시간전
서울 양천구, 장원교육 서울양천,14:00~21:00,"월급2,000,000",4시간전
경기 화성시, 장원교육 2동탄,10:00~10:00,"월급1,800,000",4시간전
서울 노원구, 장원교육 서울노원,10:00~20:00,"월급1,573,770",4시간전
서울 강남구, 장원교육 서울강남,14:00~21:00,"월급1,800,000",9시간전
대구 전체, 장원교육 수성,10:00~22:00,"월급1,800,000",17시간전
서울 구로구, 장원교육 서울영등포,10:00~20:00,"월급1,800,000",18시간전
서울 서초구, 장원교육 서울서초,10:00~21:00,"연봉19,000,000",11/21
대구 달서구, 장원교육 월배,10:00~22:00,"월급1,500,000",11/21
경남 김해시, 장원교육 김해장유,14:00~21:00,"연봉20,000,000",11/20
경남 김해시, 장원교육 김해장유,14:00~21:00,"연봉20,000,000",11/20
대구 전체, 장원교육 대구서구,15:00~22:00,"월급2,000,000",11/20
대구 서구, 장원교육 대구서구,14:00~18:00,"월급2,000,000",11/20
서울 서초구, 장원교육 서울서초,10:00~21:00,"연봉19,000,000",11/20
