place,title,time,pay,date
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,10:00~22:00,"시급9,040",11분전
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,10:00~22:00,"시급9,040",12분전
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,10:00~22:00,"시급9,040",12분전
인천 전체, 제이디스포츠패션코리아 인천구월점(직),10:30~18:30,"시급9,040",2시간전
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,10:00~22:00,"월급1,795,310",3시간전
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,10:00~22:00,"월급1,795,310",3시간전
인천 전체, 제이디스포츠패션코리아 인천구월점(직),10:30~18:30,"시급9,040",3시간전
서울 강남구, 제이디스포츠패션코리아 파르나스몰점,13:00~22:00,"월급1,795,310",4시간전
인천 부평구, 제이디스포츠패션코리아 부평중앙점(직),12:30~20:30,"시급9,040",11/15
인천 부평구, 제이디스포츠패션코리아 부평중앙점(직),12:30~20:30,"시급9,040",11/15
인천 부평구, 제이디스포츠패션코리아 부평중앙점(직),12:30~20:30,"시급9,040",11/15
광주 동구, 제이디스포츠패션코리아 광주충장로점(직,14:30~22:00,"시급9,040",11/15
