place,title,time,pay,date
광주 동구, (주)지오다노,13:00~22:00,"월급1,800,000",13분전
서울 송파구, (주)지오다노 잠실롯데점,09:30~20:30,"월급1,800,000",15분전
인천 연수구, (주)지오다노,09:30~21:00,"월급1,800,000",34분전
대구 전체, (주)지오다노,13:00~22:00,"월급1,800,000",57분전
서울 종로구, (주)지오다노,10:00~22:00,"월급1,800,000",2시간전
서울 종로구, (주)지오다노,10:00~22:00,"월급1,800,000",2시간전
광주 동구, (주)지오다노,13:00~22:00,"월급1,800,000",3시간전
서울 전체, (주)지오다노강남,09:00~22:00,"월급1,800,000",4시간전
서울 전체, (주)지오다노강남,09:00~22:00,"월급1,800,000",15시간전
인천 연수구, (주)지오다노,09:30~21:00,"월급1,800,000",11/23
경기 평택시, (주)지오다노,10:00~22:00,"월급1,800,000",11/21
경기 평택시, (주)지오다노,10:00~22:00,"월급1,800,000",11/21
경기 평택시, (주)지오다노,10:00~22:00,"월급1,800,000",11/21
경기 안성시, (주)지오다노,10:00~22:00,"월급1,800,000",11/21
경기 전체, (주)지오다노,09:30~18:30,"월급1,800,000",11/20
서울 종로구, (주)지오다노,10:00~22:00,"월급1,800,000",11/20
인천 연수구, (주)지오다노,09:30~21:00,"월급1,800,000",11/20
서울 전체, (주)지오다노강남,09:00~22:00,"월급1,800,000",11/20
인천 연수구, (주)지오다노,09:30~21:00,"월급1,800,000",11/18
서울 강서구, 마인드브릿지,10:00~20:00,"일급80,000",11/15
경기 용인시, (주)지오다노,09:30~21:00,"월급1,900,000",11/13
인천 연수구, (주)지오다노,09:30~21:00,"월급1,800,000",11/12
서울 강서구, 마인드브릿지,10:00~20:00,"일급80,000",11/09
서울 서초구, (주)지오다노,09:00~23:00,"월급1,800,000",11/08
경기 용인시, (주)지오다노,09:30~21:00,"월급1,900,000",11/07
경기 용인시, (주)지오다노,09:30~21:00,"월급1,900,000",11/07
서울 서초구, (주)지오다노본사,09:00~18:00,"일급68,720",11/07
