place,title,time,pay,date
경기 성남시, 피그인더가든 판교점,11:00~21:00,"시급8,600",57분전
서울 강남구, (주)파리크라상 스트릿 스퀘어점,10:00~22:00,"시급8,600",1시간전
서울 강남구, (주)파리크라상 스트릿 스퀘어점,10:00~22:00,"시급8,600",2시간전
서울 전체, 파리크라상 피그인더가든,08:00~13:30,"시급8,600",3시간전
서울 전체, 피그인더가든,08:00~13:30,"시급8,600",3시간전
경기 성남시, 피그인더가든 판교점,11:00~21:00,"시급8,600",4시간전
경기 성남시, 피그인더가든 판교점,11:00~21:00,"시급8,600",4시간전
서울 강남구, (주)파리크라상 스트릿 스퀘어점,10:00~22:00,"시급8,600",11/21
서울 강남구, 디.퀸즈 뉴코엑스점,12:00~21:00,"시급8,600",11/21
서울 강남구, 퀸스파크 청담점,11:00~21:00,"시급8,590",11/21
서울 종로구, 라그릴리아 광화문점,시간협의,"시급8,600",11/20
서울 강동구, 라그릴리아 천호,12:30~21:30,"시급8,600",11/11
서울 종로구, 라그릴리아 광화문점,11:30~20:30,"시급8,600",11/09
