place,title,time,pay,date
부산 북구, 할리스커피 부산덕천점,22:30~02:30,"시급8,590",9분전
광주 북구, 할리스커피 광주북구청점,07:30~24:00,"월급2,000,000",15분전
전북 익산시, 할리스커피 익산부송점,21:00~24:30,"시급8,590",17분전
전북 익산시, 할리스커피 익산부송점,21:00~24:30,"시급8,590",19분전
부산 해운대, 할리스커피 부산달맞이점,21:30~01:00,"시급8,590",45분전
인천 미추홀, 할리스커피 인천주안역점,18:00~24:00,"시급8,590",58분전
인천 미추홀, 할리스커피 인천주안역점,12:00~17:30,"시급8,590",1시간전
전북 익산시, 할리스커피 익산어양점,17:30~22:00,"시급8,590",1시간전
서울 송파구, 할리스커피 아시아선수촌점,18:00~22:00,"시급8,700",1시간전
서울 송파구, 할리스커피 아시아선수촌점,22:00~05:00,"시급8,900",1시간전
경남 양산시, 할리스커피 양산부산대병원본점,14:30~17:50,"시급8,590",2시간전
충북 청주시, 할리스커피 청주명암레이크점,08:30~23:30,"월급1,800,000",2시간전
충북 청주시, 할리스커피 청주명암레이크점,12:30~15:30,"시급8,590",2시간전
대전 유성구, 할리스커피 대전유성온천점,19:00~24:00,"시급8,590",2시간전
서울 마포구, 할리스커피 홍대출판사거리점,15:00~22:00,"시급8,590",4시간전
서울 마포구, 할리스커피 홍대출판사거리점,15:00~22:00,"시급8,590",4시간전
부산 금정구, 할리스커피 부산금강식물원점,09:00~14:00,"시급8,590",4시간전
세종 가람동, 할리스커피 세종가람DT점,17:00~22:00,"시급8,590",4시간전
인천 미추홀, 할리스커피 인천주안역점,17:00~23:30,"시급8,590",4시간전
충북 청주시, 할리스커피 청주동남점,08:00~23:30,"월급1,900,000",4시간전
부산 남구, 할리스커피 부산경성대점,23:00~06:00,"시급8,590",5시간전
전북 익산시, 할리스커피 익산부송점,21:00~24:30,"시급8,590",8시간전
부산 해운대, 할리스커피 부산달맞이점,21:30~01:00,"시급8,590",14시간전
서울 성동구, 할리스커피 한양대시티빌점,10:00~23:00,"시급8,590",11/22
경북 칠곡군, 할리스커피 칠곡왜관점,09:00~24:00,"시급8,590",11/22
충북 청주시, 할리스커피 청주명암레이크점,08:30~23:30,"월급1,800,000",11/22
서울 송파구, 할리스커피 가락시장역점,12:30~17:00,"시급8,590",11/22
서울 서대문, 할리스커피 무악재역점,18:00~22:00,"시급8,590",11/21
전남 여수시, 할리스커피 여수웅천점,16:00~23:30,"월급1,250,000",11/21
충북 청주시, 할리스커피 청주명암레이크점,12:30~15:30,"시급8,590",11/21
서울 강북구, 할리스커피 미아역점,시간협의,"시급8,590",11/21
서울 전체, 할리스커피 코엑스점,11:00~14:00,"시급8,590",11/21
전북 익산시, 할리스커피 익산부송점,15:30~24:30,"월급1,850,000",11/20
서울 서초구, 할리스커피 교대역점,10:00~14:00,"시급8,590",11/20
서울 구로구, 할리스커피 구로거리공원점,09:00~21:00,"월급1,900,000",11/20
경기 남양주, 할리스커피 다산한강점,17:00~22:00,"시급8,590",11/19
서울 서초구, 할리스커피 교대역점,10:00~14:00,"시급8,590",11/18
서울 전체, 할리스커피 종로DGB점,11:30~15:00,"시급8,590",11/17
경기 하남시, 할리스커피 하남덕풍점,20:00~24:00,"시급8,590",11/16
광주 북구, 할리스커피 광주비엔날레점,11:30~24:00,"시급8,590",11/16
서울 성동구, 할리스커피 한양대시티빌점,10:00~23:00,"시급8,590",11/15
대구 동구, 할리스커피 대구안심점,19:00~22:30,"시급8,590",11/15
대전 서구, 할리스커피 대전만년점,시간협의,"시급8,590",11/15
서울 서초구, 할리스커피 교대역점,21:00~23:30,"시급8,590",11/14
서울 구로구, 할리스커피 구로거리공원점,09:00~23:00,"월급2,000,000",11/13
서울 서초구, 할리스커피 교대역점,21:00~23:30,"시급8,590",11/12
서울 중구, 할리스커피 명동퍼시픽호텔점,07:30~21:30,"시급8,590",11/12
광주 북구, 할리스커피 광주비엔날레점,11:30~24:00,"시급8,590",11/11
인천 전체, 할리스커피 인천엠파크허브점,12:00~17:30,"시급8,590",11/11
인천 전체, 할리스커피 인천엠파크허브점,09:00~06:00,"월급1,795,310",11/11
