place,title,time,pay,date
서울 동작구, 호식이두마리치킨 신길1호점,11:00~16:00,"시급11,000",2시간전
서울 동작구, 호식이두마리치킨 신길1호점,19:00~03:00,"시급8,590",2시간전
서울 동작구, 호식이두마리치킨 신길1호점,17:00~03:00,"월급2,600,000",2시간전
인천 서구, 호식이두마리치킨 석남점,18:00~22:00,"시급8,590",4시간전
부산 동래구, 호식이두마리치킨 사직점,시간협의,"시급9,000",5시간전
부산 사상구, 호식이두마리치킨 덕포점,17:00~22:00,"시급9,000",5시간전
경기 성남시, 호식이두마리치킨 정자점(분당),16:00~23:00,"시급10,500",5시간전
경기 성남시, 호식이두마리치킨 정자점(분당),16:00~23:00,"시급10,500",5시간전
경기 성남시, 호식이두마리치킨 정자점(분당),16:00~23:00,"시급10,500",5시간전
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급10,500",5시간전
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급10,500",5시간전
경기 용인시, 호식이두마리치킨 수지1호점,18:00~22:00,"시급11,000",5시간전
전남 순천시, 호식이두마리치킨 조례점,17:00~24:00,"시급9,000",6시간전
인천 남동구, 호식이두마리치킨 인천서창점,18:00~22:00,"시급8,600",6시간전
세종 보람동, 호식이두마리치킨 보람점,17:00~20:00,"시급11,000",7시간전
충남 아산시, 호식이두마리치킨 배방점,16:00~24:00,"시급9,000",11/22
충남 아산시, 호식이두마리치킨 배방점,16:00~24:00,"시급9,000",11/22
대구 수성구, 호식이두마리치킨 시지1호점,17:00~22:00,"시급9,000",11/22
부산 해운대, 호식이두마리치킨 재송점,17:00~22:00,"시급9,000",11/22
제주 제주시, 호식이두마리치킨 아라점,21:00~24:00,"시급8,600",11/19
인천 서구, 호식이두마리치킨 인천연희점,18:00~23:00,"시급8,590",11/17
인천 서구, 호식이두마리치킨 인천연희점,18:00~23:00,"시급8,590",11/17
서울 강서구, 호식이두마리치킨 방화1호점,17:00~23:00,"시급8,590",11/17
경북 안동시, 호식이두마리치킨 용상점,18:00~03:00,"시급8,800",11/17
인천 부평구, 호식이두마리치킨 삼산1호점,17:00~21:00,"시급8,590",11/17
전남 영암군, 호식이두마리치킨 대불점,18:00~23:00,"시급8,590",11/16
전남 영암군, 호식이두마리치킨 대불점,17:00~22:00,"시급8,590",11/16
대구 수성구, 호식이두마리치킨 시지1호점,17:00~22:00,"시급9,000",11/15
대구 수성구, 호식이두마리치킨 시지1호점,17:00~10:00,"시급9,000",11/15
인천 연수구, 호식이두마리치킨 옥련1호점,18:00~00:00,"시급9,000",11/14
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",11/12
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",11/12
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",11/12
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",11/12
충남 아산시, 호식이두마리치킨 배방점,17:00~24:00,"시급9,000",11/12
충남 아산시, 호식이두마리치킨 배방점,17:00~24:00,"시급10,000",11/12
충남 아산시, 호식이두마리치킨 배방점,16:00~24:00,"시급8,590",11/12
대구 북구, 호식이두마리치킨 침산점,18:00~22:00,"시급9,000",11/09
대구 북구, 호식이두마리치킨 침산점,18:00~22:00,"시급9,000",11/09
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",11/08
서울 강동구, 호식이두마리치킨 천호1호점,17:00~23:00,"시급9,000",11/07
전남 영암군, 호식이두마리치킨 대불점,18:00~24:00,"시급8,590",11/07
