place,title,time,pay,date
경기 시흥시, 호치킨 시흥목감역점,06:00~11:00,"시급8,600",9분전
경기 화성시, 호치킨 동탄2신도시한백점,18:00~23:00,"시급9,000",47분전
경기 화성시, 호치킨 동탄2신도시한백점,18:00~23:00,"시급9,000",48분전
서울 송파구, 호치킨 동부법조타운점,18:00~24:00,"시급10,308",1시간전
경기 안산시, 호치킨 초지태영프라자점-1,18:00~00:00,"시급9,000",2시간전
대전 서구, 호치킨 대전타임월드점,시간협의,"시급8,590",2시간전
경기 안산시, 호치킨 초지태영프라자점-1,18:00~00:00,"시급9,000",2시간전
인천 부평구, 호치킨 산곡점,19:00~23:30,"시급8,600",2시간전
서울 관악구, 호치킨 은천초교점,19:00~24:00,"시급9,000",2시간전
서울 노원구, 호치킨 노원역점,17:00~02:30,"월급2,250,000",3시간전
경기 화성시, 호치킨 동탄2신도시한백점,18:00~23:00,"시급9,000",3시간전
인천 부평구, 호치킨 산곡점,19:00~23:30,"시급8,600",5시간전
서울 송파구, 호치킨 오금점,18:00~01:00,"시급9,000",5시간전
서울 송파구, 호치킨 동부법조타운점,18:00~24:00,"시급10,308",5시간전
서울 중랑구, 호치킨 상봉역점,20:00~04:00,"월급1,700,000",6시간전
서울 강동구, 호치킨 주식회사 다울에프앤비,시간협의,"시급8,590",6시간전
서울 마포구, 호치킨 상암9단지점,18:30~23:00,"시급8,800",6시간전
서울 노원구, 호치킨 노원역점,17:00~02:30,"월급2,250,000",7시간전
서울 노원구, 호치킨 노원역점,17:00~02:30,"월급2,250,000",7시간전
대전 서구, 호치킨 대전타임월드점,시간협의,"시급8,590",7시간전
경기 고양시, 호치킨 일산후곡마을점,18:00~24:00,"시급8,600",11/22
인천 부평구, 호치킨 산곡점,19:00~23:30,"시급8,600",11/22
경기 용인시, 호치킨 호치킨 용인죽전점,18:00~24:00,"시급8,600",11/21
경기 용인시, 호치킨 용인동천점,18:00~24:00,"시급8,600",11/21
서울 양천구, 호치킨 목2동시장점,19:00~01:00,"시급9,000",11/21
서울 양천구, 호치킨 목2동시장점,19:00~01:00,"시급9,000",11/20
서울 강동구, 호치킨 성내3동점,14:00~01:00,"월급2,300,000",11/19
인천 남동구, 호치킨 관교점,18:00~01:00,"시급8,590",11/18
인천 남동구, 호치킨 관교점,18:00~01:00,"시급8,590",11/18
인천 남동구, 호치킨 관교점,18:00~01:00,"시급8,590",11/18
인천 남동구, 호치킨 관교점,18:00~01:00,"시급8,590",11/18
경기 광주시, 호치킨 광주장지e편한세상점,15:00~02:00,"월급2,200,000",11/18
경기 광주시, 호치킨 광주장지e편한세상점,15:00~02:00,"월급2,200,000",11/18
경기 광주시, 호치킨 광주장지e편한세상점,15:00~02:00,"월급2,200,000",11/18
경기 광주시, 호치킨 광주장지e편한세상점,15:00~02:00,"월급2,200,000",11/18
인천 연수구, 호치킨 송도퍼스트파크점,18:00~23:00,"시급9,000",11/18
인천 연수구, 호치킨 송도퍼스트파크점,18:00~23:00,"시급9,000",11/17
강원 춘천시, 호치킨 춘천석사점,19:00~22:00,"주급53,200",11/15
서울 강동구, 호치킨 성내3동점,14:00~01:00,"월급2,300,000",11/15
경기 파주시, 호치킨 파주운정야당점,16:00~24:00,"시급10,000",11/13
서울 송파구, 호치킨 동부법조타운점,18:00~24:00,"시급10,308",1시간전
